config,fault_type,alpha,TPR_sambp,TPR_conv,charge_rms_mean,charge_rms_p95,I_fund_mean,f_int_mean
B_prefault,3ph,0.2,1.0,1.0,0.000939746289017985,0.001217827426875865,1.5011973313095754,1.0
B_prefault,3ph,0.3,1.0,1.0,0.0009228778410485018,0.00115750368622261,2.2488564781308487,1.0
B_prefault,3ph,0.5,1.0,1.0,0.0009305725996936003,0.0011418265143771388,3.7499105361026697,1.0
D_voltage,ag,0.01,0.0,1.0,0.039207600124381264,0.04038050191730399,0.055430421486539753,0.0
D_voltage,ag,0.02,0.0,1.0,0.0784143979050868,0.08133414844452488,0.11088569418737487,0.38607117734218577
D_voltage,ag,0.03,1.0,1.0,0.1174747852234717,0.12148656854237168,0.16612858222145946,0.999719557701733
D_voltage,ag,0.05,1.0,1.0,0.19605793610180597,0.2025800082688065,0.2772642798901521,1.0
D_voltage,ag,0.07,1.0,1.0,0.27436712196430757,0.2830943477834398,0.3880111596071748,1.0
D_voltage,ag,0.1,1.0,1.0,0.3917108146009572,0.40487305185494277,0.553960991340411,1.0
D_voltage,ag,0.15,1.0,1.0,0.5873958091798923,0.6081951784397653,0.8307019286342687,1.0
D_voltage,ag,0.2,1.0,1.0,0.7838559148904549,0.8103239610113888,1.1085387946803031,1.0
D_voltage,ag,0.3,1.0,1.0,1.1751973295822962,1.2149141183331105,1.6619794136466313,1.0
D_voltage,ag,0.5,1.0,1.0,1.956013469714515,2.026862136356701,2.766220421595698,1.0
D_voltage,3ph,0.01,0.0,1.0,0.05306198758959356,0.054908139001655934,0.07502797753230529,0.0
D_voltage,3ph,0.02,1.0,1.0,0.10604320534576976,0.10972398741366696,0.1499613267263091,0.8745165840788638
D_voltage,3ph,0.03,1.0,1.0,0.1585841812635417,0.16400692870012587,0.22426756869400513,1.0
D_voltage,3ph,0.05,1.0,1.0,0.2648355533694813,0.2748789136493972,0.37453145548779476,1.0
D_voltage,3ph,0.07,1.0,1.0,0.37041878292521674,0.38424042578031076,0.5238494142275953,1.0
D_voltage,3ph,0.1,1.0,1.0,0.5301225027779348,0.5482464257750019,0.749705122224241,1.0
D_voltage,3ph,0.15,1.0,1.0,0.794688211160955,0.8215435496577198,1.1238579824383987,1.0
D_voltage,3ph,0.2,1.0,1.0,1.0614918609897812,1.0939620633796197,1.501175533163876,1.0
D_voltage,3ph,0.3,1.0,1.0,1.590182628340209,1.6413581962479153,2.2488574051271573,1.0
D_voltage,3ph,0.5,1.0,1.0,2.651594139025131,2.7389426139479522,3.749920131996438,1.0
E_voltage_override,ag,0.01,0.0,1.0,0.039207600124381264,0.04038050191730399,0.055430421486539753,0.0
E_voltage_override,ag,0.02,0.0,1.0,0.0784143979050868,0.08133414844452488,0.11088569418737487,0.38607117734218577
E_voltage_override,ag,0.03,1.0,1.0,0.1174747852234717,0.12148656854237168,0.16612858222145946,0.999719557701733
E_voltage_override,ag,0.05,1.0,1.0,0.19605793610180597,0.2025800082688065,0.2772642798901521,1.0
E_voltage_override,ag,0.07,1.0,1.0,0.27436712196430757,0.2830943477834398,0.3880111596071748,1.0
E_voltage_override,ag,0.1,1.0,1.0,0.3917108146009572,0.40487305185494277,0.553960991340411,1.0
E_voltage_override,ag,0.15,1.0,1.0,0.5873958091798923,0.6081951784397653,0.8307019286342687,1.0
E_voltage_override,ag,0.2,1.0,1.0,0.7838559148904549,0.8103239610113888,1.1085387946803031,1.0
E_voltage_override,ag,0.3,1.0,1.0,1.1751973295822962,1.2149141183331105,1.6619794136466313,1.0
E_voltage_override,ag,0.5,1.0,1.0,1.956013469714515,2.026862136356701,2.766220421595698,1.0
E_voltage_override,3ph,0.01,0.0,1.0,0.05306198758959356,0.054908139001655934,0.07502797753230529,0.0
E_voltage_override,3ph,0.02,1.0,1.0,0.10604320534576976,0.10972398741366696,0.1499613267263091,0.8745165840788638
E_voltage_override,3ph,0.03,1.0,1.0,0.1585841812635417,0.16400692870012587,0.22426756869400513,1.0
E_voltage_override,3ph,0.05,1.0,1.0,0.2648355533694813,0.2748789136493972,0.37453145548779476,1.0
E_voltage_override,3ph,0.07,1.0,1.0,0.37041878292521674,0.38424042578031076,0.5238494142275953,1.0
E_voltage_override,3ph,0.1,1.0,1.0,0.5301225027779348,0.5482464257750019,0.749705122224241,1.0
E_voltage_override,3ph,0.15,1.0,1.0,0.794688211160955,0.8215435496577198,1.1238579824383987,1.0
E_voltage_override,3ph,0.2,1.0,1.0,1.0614918609897812,1.0939620633796197,1.501175533163876,1.0
E_voltage_override,3ph,0.3,1.0,1.0,1.590182628340209,1.6413581962479153,2.2488574051271573,1.0
E_voltage_override,3ph,0.5,1.0,1.0,2.651594139025131,2.7389426139479522,3.749920131996438,1.0
