trial_id,fault_loc,fault_type,delta_I,delta_dc,delta_tau,delta_phi,OC_conv,OC_sambp,OC_veto,87B_A_conv,87B_A_sambp,87B_A_veto,87L_conv,87L_sambp,87L_veto,87B_B_conv,87B_B_sambp,87B_B_veto,87T_conv,87T_sambp,87T_veto
58,bus_A,3ph,0.14591,0.04168,-0.00498,-0.20608,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
59,bus_A,3ph,-0.08189,0.1073,-0.05371,-0.10173,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
60,bus_A,3ph,0.11074,0.26771,0.19746,-0.0237,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
61,bus_A,3ph,-0.14473,-0.28505,-0.00214,-0.66546,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
62,bus_A,3ph,-0.15291,-0.1591,0.1968,-0.53057,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
63,bus_A,3ph,-0.15595,0.24955,0.04883,0.37684,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
64,bus_A,3ph,-0.05811,0.2603,0.19044,0.09182,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
65,bus_A,3ph,0.19474,0.00348,-0.0241,0.44836,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
66,bus_A,3ph,0.0577,-0.17968,0.00598,-0.75954,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
67,bus_A,3ph,0.15026,0.02547,-0.18153,0.68763,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
68,bus_A,3ph,0.19977,0.14238,-0.02747,0.1436,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
69,bus_A,3ph,-0.19591,-0.23493,-0.0676,-0.13938,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
70,bus_A,3ph,0.10238,-0.19756,-0.15356,0.31018,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
71,bus_A,3ph,0.15521,0.2278,0.09677,0.75959,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
72,bus_A,3ph,0.00884,0.16468,-0.03313,-0.23051,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
73,bus_A,3ph,0.16433,-0.04158,0.09859,-0.00468,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
74,bus_A,3ph,-0.15511,-0.22387,0.00405,0.32622,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
75,bus_A,3ph,0.09699,-0.09858,-0.19632,0.0524,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
76,bus_A,3ph,-0.12417,-0.10793,0.02658,-0.16991,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
77,bus_A,3ph,-0.0164,-0.26972,-0.12679,0.53705,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
78,bus_A,3ph,0.00475,0.23107,0.14292,-0.48197,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
79,bus_A,3ph,-0.04016,0.01547,-0.16099,-0.65132,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
80,bus_A,3ph,0.13659,0.19603,-0.04668,0.3245,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
81,bus_A,3ph,0.00717,0.14859,-0.07393,-0.04078,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
82,bus_A,3ph,0.15718,0.18999,-0.07601,0.59968,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
83,bus_A,3ph,-0.04051,0.10943,0.0846,-0.15443,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
84,bus_A,3ph,0.13084,-0.02079,0.18428,0.68597,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
85,bus_A,3ph,0.16011,0.24501,-0.14118,0.233,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
86,bus_A,3ph,0.09645,0.01726,0.01169,-0.46899,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
87,bus_A,3ph,-0.13569,0.16988,-0.14016,0.35845,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
88,bus_A,3ph,-0.16917,-0.05265,-0.1904,0.25191,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
89,bus_A,3ph,-0.08283,-0.01938,-0.08542,0.02478,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
90,bus_A,3ph,0.06306,-0.19985,0.11082,0.44377,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
91,bus_A,3ph,0.17687,-0.07158,0.14925,-0.63824,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
92,bus_A,3ph,0.19756,-0.17268,-0.05046,-0.63852,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
93,bus_A,3ph,0.13406,-0.00844,0.18496,-0.55824,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
94,bus_A,3ph,0.15673,-0.08427,-0.10548,0.24681,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
95,bus_A,3ph,-0.18792,0.01528,-0.01056,-0.70921,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
96,bus_A,3ph,-0.02633,-0.11705,-0.10054,0.6759,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
97,bus_A,3ph,0.03932,-0.20751,0.10285,-0.20488,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
98,bus_A,3ph,0.03954,-0.07204,0.05542,0.28579,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
99,bus_A,3ph,-0.08659,0.19863,0.04725,0.16536,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
100,bus_A,3ph,-0.1128,-0.14762,-0.04185,-0.73219,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
101,bus_A,3ph,-0.17811,0.09761,-0.07341,0.34596,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
102,bus_A,3ph,-0.17007,0.14408,-0.11433,0.58049,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
103,bus_A,3ph,0.16261,0.11359,-0.04229,-0.74511,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
104,bus_A,3ph,0.10445,0.03769,-0.16708,0.11111,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
105,bus_A,3ph,-0.19754,-0.02917,0.0453,0.47542,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
106,bus_A,3ph,-0.08376,-0.16077,-0.06756,-0.69242,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
107,bus_A,3ph,0.1726,0.22838,0.04085,-0.66824,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
108,bus_A,3ph,-0.16655,0.25925,-0.15,-0.55658,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
109,bus_A,3ph,0.11419,-0.11908,-0.03538,-0.14133,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
110,bus_A,3ph,0.08003,-0.0166,0.12488,-0.00638,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
111,bus_A,3ph,-0.08382,-0.18325,0.10201,-0.4406,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
112,bus_A,3ph,0.04356,0.06084,0.1853,-0.64462,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
113,bus_A,3ph,-0.11699,0.09693,-0.06764,-0.58342,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
114,bus_A,3ph,0.15815,0.13889,-0.11098,-0.63584,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
115,bus_A,3ph,0.13696,0.04198,0.17183,0.02699,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
116,bus_A,3ph,-0.10765,-0.21986,-0.03283,0.28905,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
117,bus_A,3ph,-0.19828,-0.06279,-0.03847,0.26862,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
118,bus_A,3ph,-0.12202,0.22564,-0.06996,0.51335,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
119,bus_A,3ph,0.13105,0.23093,-0.09647,0.53386,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
120,bus_A,3ph,-0.1078,-0.06033,-0.12893,-0.02493,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
121,bus_A,3ph,-0.16992,0.27411,-0.1948,-0.00535,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
122,bus_A,3ph,0.13524,-0.22049,0.03884,0.04882,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
123,bus_A,3ph,0.10301,0.11916,0.13001,0.46069,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
