feeder,fault_bus,alpha,Rx,snrI,observation,n_real_obs,rmse_alpha_pct_proper,rmse_alpha_pct_dual,rmse_Rx_pct_proper,rmse_Rx_pct_dual,consistency_ratio,geary_hinkley_valid
IEEE_34,bus_13,0.5,1000.0,40.0,diagonal,6,1051.8694994828581,1051.8694994828581,25.554021872663224,25.554021872663224,1.0,1
IEEE_34,bus_13,0.5,1000.0,50.0,full,18,108.80336166279388,108.80336166279385,2.360679570101402,2.360679570101401,1.0000000000000002,1
IEEE_34,bus_13,0.5,1000.0,50.0,upper,12,126.13191452493918,126.13191452493918,2.7969071563680528,2.7969071563680528,1.0,1
IEEE_34,bus_13,0.5,1000.0,50.0,diagonal,6,332.63034196271366,332.63034196271366,8.080891249537704,8.080891249537704,1.0,1
IEEE_34,bus_13,0.5,1000.0,inf,full,18,1.622881769014193e-147,nan,3.9088785287078103e-149,nan,nan,1
IEEE_34,bus_13,0.5,1000.0,inf,upper,12,1.766530163740012e-147,nan,4.272636602308631e-149,nan,nan,1
IEEE_34,bus_13,0.5,1000.0,inf,diagonal,6,1.969734850614641e-147,nan,4.7851349274270456e-149,nan,nan,1
IEEE_34,bus_13,0.5,2000.0,20.0,full,18,6865.6210215250385,6865.6210215250385,148.8051231470049,148.8051231470049,1.0,1
IEEE_34,bus_13,0.5,2000.0,20.0,upper,12,7959.445309651733,7959.445309651733,176.25981547120435,176.25981547120435,1.0,1
IEEE_34,bus_13,0.5,2000.0,20.0,diagonal,6,21056.10461972352,21056.104619723523,510.2837276094996,510.2837276094997,0.9999999999999999,1
IEEE_34,bus_13,0.5,2000.0,30.0,full,18,2171.099997955104,2171.099997955104,47.05631166463782,47.05631166463782,1.0,1
IEEE_34,bus_13,0.5,2000.0,30.0,upper,12,2516.9976090043665,2516.9976090043665,55.73824768499903,55.73824768499903,1.0,1
IEEE_34,bus_13,0.5,2000.0,30.0,diagonal,6,6658.524924911992,6658.524924911992,161.36588321669674,161.36588321669674,1.0,1
IEEE_34,bus_13,0.5,2000.0,40.0,full,18,686.5621021525038,686.5621021525038,14.880512314700487,14.880512314700487,1.0,1
IEEE_34,bus_13,0.5,2000.0,40.0,upper,12,795.9445309651733,795.9445309651733,17.625981547120436,17.625981547120436,1.0,1
IEEE_34,bus_13,0.5,2000.0,40.0,diagonal,6,2105.610461972353,2105.610461972353,51.02837276094998,51.02837276094998,1.0,1
IEEE_34,bus_13,0.5,2000.0,50.0,full,18,217.1099997955104,217.1099997955104,4.705631166463782,4.705631166463782,1.0,1
