decision,trip_ms,conv_trip,sprt_dec,f_int,k_ibr,Br,phi_deg
RESTRAIN,300.0,False,RESTRAIN,0.21753740412146927,0.0,0.048762088513024215,303.0606125467604
RESTRAIN,300.0,False,RESTRAIN,0.2644456203453659,0.0,0.4801913785800032,267.7205706857222
RESTRAIN,300.0,False,RESTRAIN,0.19724489968665504,0.0,0.669862200598853,178.81992861151866
RESTRAIN,300.0,False,RESTRAIN,0.1789994810734158,0.0,0.23650955147802222,93.0123557174446
RESTRAIN,300.0,False,RESTRAIN,0.27484314341839033,0.0,0.5890738561551808,299.1527516494218
RESTRAIN,300.0,False,RESTRAIN,0.2915718637515967,0.0,0.7568331928902714,300.26698763015366
RESTRAIN,300.0,False,RESTRAIN,0.2053815358516793,0.0,0.05865078936901979,189.1137583246049
RESTRAIN,300.0,False,RESTRAIN,0.18850640566226085,0.0,0.520220133897416,17.140819109820548
RESTRAIN,300.0,False,RESTRAIN,0.1123116099928293,0.0,0.7988408081053816,69.4660249930793
RESTRAIN,300.0,False,RESTRAIN,0.20397885613798783,0.0,0.11377790059441142,20.190045422166243
RESTRAIN,300.0,False,RESTRAIN,0.17902469445710445,0.0,0.24232290746871674,64.74168647176707
RESTRAIN,300.0,False,RESTRAIN,0.20352632517364333,0.0,0.5633316355080012,183.0316610787877
RESTRAIN,300.0,False,RESTRAIN,0.2640154442127908,0.0,0.5266655011275585,307.5024441989386
RESTRAIN,300.0,False,RESTRAIN,0.26825172575731315,0.0,0.7140565099684024,235.16525968964115
RESTRAIN,300.0,False,RESTRAIN,0.2378347502587389,0.0,0.5661475875830253,216.32506902840996
RESTRAIN,300.0,True,RESTRAIN,0.26942062089396224,0.0,0.5182605137718487,269.2632751542342
RESTRAIN,300.0,False,RESTRAIN,0.23772441150481638,0.0,0.4066662482298221,230.36813084106637
RESTRAIN,300.0,False,RESTRAIN,0.20479014490003977,0.0,0.07042435363642238,159.63381520364425
RESTRAIN,300.0,False,RESTRAIN,0.2707315610488058,0.0,0.5319794797855324,293.53084029471717
RESTRAIN,300.0,False,RESTRAIN,0.19310005559697507,0.0,0.14096324794542672,111.66640936323364
RESTRAIN,300.0,False,RESTRAIN,0.257333323371553,0.0,0.8962645418973055,334.1213666214943
RESTRAIN,300.0,False,RESTRAIN,0.20123216663556287,0.0,0.0706500738510453,41.828609706227866
RESTRAIN,300.0,False,RESTRAIN,0.20917044603000445,0.0,0.06814467336858647,229.56476143114426
RESTRAIN,300.0,False,RESTRAIN,0.19814537320563852,0.0,0.7085964888582309,180.18588709444919
RESTRAIN,300.0,False,RESTRAIN,0.2032746958663516,0.0,0.09104873084116294,153.27419640359955
RESTRAIN,300.0,False,RESTRAIN,0.18765658263253915,0.0,0.36456865085914136,154.6978967261689
RESTRAIN,300.0,False,RESTRAIN,0.17716086692547617,0.0,0.8347491250662328,15.194708654057013
RESTRAIN,300.0,True,RESTRAIN,0.29239355438710146,0.0,0.7090942210286713,270.5449697506122
RESTRAIN,300.0,False,RESTRAIN,0.1890920227052072,0.0,0.20955797585184918,126.84494885834339
RESTRAIN,300.0,False,RESTRAIN,0.20145396379258118,0.0,0.2259268794379942,171.58908851041573
RESTRAIN,300.0,False,RESTRAIN,0.26612334558551554,0.0,0.5330432294003996,305.1338713093889
RESTRAIN,300.0,False,RESTRAIN,0.22389136590969616,0.0,0.4377952251201649,207.75906038893214
RESTRAIN,300.0,False,RESTRAIN,0.2232539617467898,0.0,0.10507172503939831,306.5171742565799
RESTRAIN,300.0,False,RESTRAIN,0.19324231490267474,0.0,0.14278260618027452,49.34858204259355
RESTRAIN,300.0,False,RESTRAIN,0.12096209603353336,0.0,0.7226066986444295,101.45431789002188
RESTRAIN,300.0,False,RESTRAIN,0.1692160161403552,0.0,0.310311686132223,82.05566919520628
RESTRAIN,300.0,False,RESTRAIN,0.270151499201188,0.0,0.7191110266895603,319.0803410607314
RESTRAIN,300.0,False,RESTRAIN,0.22997138893229863,0.0,0.1708445654570949,281.3605902529741
RESTRAIN,300.0,False,RESTRAIN,0.26912859698995284,0.0,0.5394892756957763,300.2763084843233
RESTRAIN,300.0,False,RESTRAIN,0.22211261447819797,0.0,0.45459785523239943,204.72608164323964
RESTRAIN,300.0,False,RESTRAIN,0.1712121293836475,0.0,0.29374692911965233,79.4696082403992
RESTRAIN,300.0,False,RESTRAIN,0.16121480590455795,0.0,0.5477193348409972,135.71941476135302
RESTRAIN,300.0,False,RESTRAIN,0.207251701964417,0.0,0.1120813584211649,198.1083143451965
RESTRAIN,300.0,False,RESTRAIN,0.1946779095670087,0.0,0.7708215625839617,6.832287793807339
RESTRAIN,300.0,False,RESTRAIN,0.2591599015791092,0.0,0.6690450107865341,230.27121638710915
RESTRAIN,300.0,False,RESTRAIN,0.23799911217466774,0.0,0.2582759933648345,307.75301888551786
RESTRAIN,300.0,False,RESTRAIN,0.15189913087398454,0.0,0.5221365949631069,117.2287171488694
RESTRAIN,300.0,False,RESTRAIN,0.2871860341545588,0.0,0.8119520138790189,244.72423514805018
RESTRAIN,300.0,False,RESTRAIN,0.1989259442255351,0.0,0.38007431166813543,174.08278400945133
RESTRAIN,300.0,False,RESTRAIN,0.20966112781174562,0.0,0.32700744896283224,1.4318971082964316
RESTRAIN,300.0,False,RESTRAIN,0.12162930536391692,0.0,0.7190524071521629,102.23718944972794
RESTRAIN,300.0,False,RESTRAIN,0.2046883345206636,0.0,0.0010674187819816883,190.02969137731205
RESTRAIN,300.0,True,RESTRAIN,0.2778683652390266,0.0,0.6177359124843314,260.96705221485655
RESTRAIN,300.0,False,RESTRAIN,0.1951344956749298,0.0,0.19422545509445996,144.73215625467532
RESTRAIN,300.0,False,RESTRAIN,0.1339837087285315,0.0,0.6248222948515987,67.04834238649039
RESTRAIN,300.0,False,RESTRAIN,0.18942824314605267,0.0,0.394110904048523,21.977899493878873
RESTRAIN,300.0,False,RESTRAIN,0.2080066876104455,0.0,0.01826570254580039,257.28915603622346
RESTRAIN,300.0,False,RESTRAIN,0.13451508312943783,0.0,0.7868338657450379,131.41488254875478
RESTRAIN,300.0,False,RESTRAIN,0.24697340232757492,0.0,0.49188578166150637,232.95751340259855
RESTRAIN,300.0,False,RESTRAIN,0.17272615937592906,0.0,0.2822411186766713,79.83066189268386
RESTRAIN,300.0,True,RESTRAIN,0.28346161690296956,0.0,0.6330416741281187,271.6867933755299
RESTRAIN,300.0,False,RESTRAIN,0.16363515291939157,0.0,0.4463464514714015,123.97901965194497
RESTRAIN,300.0,False,RESTRAIN,0.20780027413028068,0.0,0.03145373549380678,18.852724851692592
RESTRAIN,300.0,False,RESTRAIN,0.20385627557940122,0.0,0.5852307608796756,183.6840598973456
RESTRAIN,300.0,True,RESTRAIN,0.3088255254204839,0.0,0.8725784534216209,263.32079301932515
RESTRAIN,300.0,False,RESTRAIN,0.22367863317712444,0.0,0.1997814873385223,335.698976860513
RESTRAIN,300.0,False,RESTRAIN,0.22583720868806145,0.0,0.7766334851033729,349.50880113533265
RESTRAIN,300.0,False,RESTRAIN,0.18490993413747325,0.0,0.5588954221407159,164.31105857967165
RESTRAIN,300.0,False,RESTRAIN,0.20808797654762012,0.0,0.07010854739969073,220.27440854715675
