decision,trip_ms,conv_trip,sprt_dec,f_int,k_ibr,Br,phi_deg
TRIP,180.0,False,TRIP,0.8960242025086964,0.1334878315459468,0.5844610888570627,331.49998646103245
TRIP,160.0,False,TRIP,0.8868458871969569,0.1657844986712761,0.6271324625831188,3.0531112280631767
TRIP,140.0,False,TRIP,0.8904049869183605,0.2603362012357689,0.33833450925129566,20.21167464350921
TRIP,20.0,False,CTALARM,0.7034876477452738,0.21945573015252334,0.6260024886365197,150.13617573062604
TRIP,20.0,True,CTALARM,0.8673870319072066,0.010806039940165213,0.19376230117373294,243.34772643182282
TRIP,20.0,False,CTALARM,0.7193452684196213,0.4131459620971789,0.460903398328293,171.39616515613807
TRIP,160.0,True,TRIP,0.9082228106578679,0.44808038591988336,0.061574623967070384,323.11743784754566
TRIP,160.0,False,TRIP,0.8991330038568232,0.07012454449930539,0.3317539498646757,15.87043999349213
TRIP,20.0,True,TRIP,0.8637361021051886,0.2770180717695247,0.15213226151084352,122.45071307174769
TRIP,20.0,True,CTALARM,0.9098453433347192,0.054287870567721774,0.04393429455142201,126.48524017993947
TRIP,20.0,True,CTALARM,0.9048404261160162,0.33612004651990585,0.002607855654334512,122.44580135508302
TRIP,20.0,True,CTALARM,0.8537094321486093,0.14061689191950416,0.22732648150856585,175.56692836442062
TRIP,100.0,False,TRIP,0.8675631196930065,0.3297113173459509,0.41267141617573394,284.6077362700598
TRIP,20.0,False,TRIP,0.7841642184889824,0.3634973071434413,0.3186612433558101,114.43774190501425
TRIP,20.0,False,TRIP,0.8236148726235816,0.3843237459588285,0.21123850896364724,268.01395438759295
TRIP,40.0,False,TRIP,0.7590497084791278,0.05387047297794828,0.6938400215433758,52.727569660465704
TRIP,20.0,False,CTALARM,0.6175954710129417,0.45800592256880396,0.6576675279857744,201.86094802822208
TRIP,20.0,True,CTALARM,0.8962180928352171,0.11510699544744041,0.0879573147862478,135.03168923959623
TRIP,20.0,False,CTALARM,0.8451034873822811,0.01870627808808989,0.2905751986679463,194.1158888264054
TRIP,80.0,False,TRIP,0.8413155948087848,0.2774262346957417,0.45419285379552754,38.789910134009794
TRIP,180.0,False,TRIP,0.8965956815554081,0.18546114193121938,0.5134435582709557,343.24662483392706
TRIP,160.0,False,TRIP,0.8982864708430028,0.4148948715662066,0.25646050843664325,326.23708204864005
TRIP,160.0,False,TRIP,0.8877522675440547,0.4041257360321509,0.5223972689147434,297.50266954462643
TRIP,160.0,True,TRIP,0.90805286784961,0.15856944641135767,0.08690500903747479,321.40181641969866
TRIP,100.0,False,TRIP,0.8796418095430666,0.4764496975348725,0.23226883768039328,52.807633265335
TRIP,20.0,False,CTALARM,0.7653333178615773,0.1454589190700593,0.5015032230291335,181.33983828707974
TRIP,20.0,False,TRIP,0.7569270010668324,0.25752856461585727,0.4379779531822625,114.44729715234841
TRIP,180.0,False,TRIP,0.8967797255847362,0.12798254528380137,0.5860471504031584,319.4589388694971
TRIP,80.0,True,TRIP,0.9060264939035518,0.46802178502448166,0.032799915867008554,68.19756569980792
TRIP,40.0,True,TRIP,0.8865277744206523,0.08230390879100907,0.12207420247613396,79.18032785111004
TRIP,20.0,True,CTALARM,0.9110758882260168,0.022455309696164494,0.03394620759037652,247.2172042878039
TRIP,140.0,True,TRIP,0.9027267042034317,0.21754853000151897,0.13447995697444792,32.00387727156054
TRIP,20.0,True,TRIP,0.9157381498582104,0.4961877820279185,0.0029979674430545052,263.6521836899903
TRIP,40.0,False,TRIP,0.7975976441352776,0.445838633127457,0.3529472111752064,96.52582379308404
TRIP,20.0,False,CTALARM,0.763525987822695,0.3743040097284746,0.3698200768977788,237.93673149617305
TRIP,160.0,False,TRIP,0.8882264532216481,0.44539624543926243,0.4605242469841963,314.29360308983775
TRIP,20.0,False,CTALARM,0.7987835319401749,0.4467233198489316,0.2694387130407304,219.4600943645966
TRIP,40.0,True,TRIP,0.9114481158188169,0.25942918019322453,0.002245383479628804,76.56614398299925
TRIP,140.0,False,TRIP,0.8859702324086267,0.1579645259153965,0.471723808085346,17.699589194117976
TRIP,160.0,True,TRIP,0.9083422299464159,0.386006216055494,0.038003761423538805,16.06102981022371
TRIP,80.0,False,TRIP,0.812464523220681,0.33083063158388054,0.6063193015724208,31.97227752504285
TRIP,20.0,True,CTALARM,0.9009969376470656,0.18682886443685504,0.015857791395556153,208.73444848909773
TRIP,20.0,False,TRIP,0.8137067810535998,0.047233334030757634,0.3713325862796427,125.35842745463444
TRIP,40.0,False,TRIP,0.7203338095687639,0.373394805674513,0.6264425176698645,87.51851186252334
TRIP,20.0,False,TRIP,0.7840052745235759,0.13123025796143234,0.40074270305214604,78.95036080698884
