slip,trip,kappa_n,omega_true,omega_hat,delta_omega,cusum_latency_ms,I_fund_hat
0.03,True,2524.993367119735,9.42477796076938,-11.674225181773966,21.099003142543346,,0.27513343725608025
0.03,True,inf,9.42477796076938,-2.146129864540626,11.570907825310005,,0.1919000028508692
0.03,True,2701.3934828411925,9.42477796076938,-15.357069108485874,24.781847069255253,,0.2656946279758361
0.03,True,823355406.3334807,9.42477796076938,0.620502007092537,8.804275953676843,,0.5923992764999837
0.03,True,inf,9.42477796076938,28.346813194914272,18.922035234144893,,5.236291178898992e-34
0.03,True,inf,9.42477796076938,33.02942351721734,23.60464555644796,,9.73282385205962e-35
0.03,True,54535725.68826481,9.42477796076938,1.0833600170154787,8.3414179437539,,0.1182740850195844
0.03,True,5816924.314731528,9.42477796076938,-2.3014653141490142,11.726243274918394,10.6310816272,0.440784287437453
0.03,True,3981.212621824309,9.42477796076938,-17.713344346754848,27.138122307524227,,0.4090169853615733
0.03,True,2862.901559852978,9.42477796076938,19.158697469628226,9.733919508858847,,0.24631799867885654
0.03,True,145.3462006495788,9.42477796076938,28.11517302719329,18.69039506642391,,0.17852562823072368
0.03,True,inf,9.42477796076938,4.517852135225187,4.906925825544192,,0.3452785483969861
0.03,True,inf,9.42477796076938,0.9074281418501976,8.517349818919183,,0.4095310292829027
0.03,True,3586.0588730144864,9.42477796076938,-19.961943367730257,29.386721328499636,,0.15972816641633045
0.03,True,5.895144147037601,9.42477796076938,66.06631486965627,56.64153690888689,,0.18353490195879363
0.03,True,2491509646.8278985,9.42477796076938,0.5343848877554134,8.890393073013966,,0.06988193688329888
0.03,True,467279.2517143603,9.42477796076938,-3.2214612048706006,12.64623916563998,,0.11091929671257023
0.03,True,2139.256235280758,9.42477796076938,22.696685336090788,13.271907375321408,,0.5469203047584741
0.03,True,inf,9.42477796076938,36.919764002001514,27.494986041232135,,1.2759347100367705e-15
0.03,True,14476.024593885113,9.42477796076938,-15.73103111103088,25.15580907180026,,0.2173524042718038
0.03,True,inf,9.42477796076938,-34.992608093670945,44.41738605444033,,0.2154853532779224
0.03,True,inf,9.42477796076938,47.715454222537105,38.29067626176773,,2.9403909594398873e-42
0.03,True,57.86930607469176,9.42477796076938,40.8146105041608,31.389832543391417,,0.23923019313445162
