t,ia,ib,ic,va,vb,vc,i_rms
0.235,-0.25317047,-1.9980771,-0.8,-0.08168862,0.04084431,0.04084431,1.4728569
0.2351,-0.1910371,-2.0275942,-0.8058874,-0.081648311,0.03860202,0.043046292,1.4716905
0.2352,-0.12897821,-2.0553861,-0.81097949,-0.081527426,0.036321634,0.045205792,1.4705047
0.2353,-0.067054574,-2.0814253,-0.81527123,-0.081326083,0.034005403,0.047320679,1.4693008
0.2354,-0.005326811,-2.105686,-0.81875841,-0.081044481,0.031655613,0.049388867,1.4680798
0.2355,0.05614466,-2.1281441,-0.82143757,-0.080682897,0.029274583,0.051408314,1.4668432
0.2356,0.11729969,-2.1487774,-0.82330606,-0.08024169,0.026864662,0.053377027,1.465592
0.2357,0.17807844,-2.1675653,-0.82436206,-0.079721293,0.02442823,0.055293064,1.4643277
0.2358,0.23842148,-2.1844893,-0.82460451,-0.079122221,0.021967689,0.057154533,1.4630515
0.2359,0.29826979,-2.1995326,-0.82403317,-0.078445066,0.019485469,0.058959597,1.4617649
0.236,0.35756487,-2.2126801,-0.82264861,-0.077690494,0.016984019,0.060706475,1.4604691
0.2361,0.41624877,-2.2239189,-0.8204522,-0.076859251,0.014465808,0.062393443,1.4591657
0.2362,0.47426417,-2.2332377,-0.8174461,-0.075952158,0.011933321,0.064018837,1.457856
0.2363,0.53155439,-2.2406273,-0.81363328,-0.074970109,0.0093890572,0.065581051,1.4565414
0.2364,0.5880635,-2.2460802,-0.8090175,-0.073914073,0.0068355275,0.067078545,1.4552235
0.2365,0.64373634,-2.2495911,-0.80360332,-0.072785093,0.004275252,0.068509841,1.4539036
0.2366,0.69851859,-2.2511564,-0.79739608,-0.071584283,0.0017107574,0.069873526,1.4525833
0.2367,0.75235683,-2.2507744,-0.7904019,-0.070312828,-0.00085542559,0.071168254,1.4512639
0.2368,0.80519856,-2.2484454,-0.7826277,-0.068971983,-0.0034207644,0.072392747,1.4499471
0.2369,0.85699228,-2.2441718,-0.77408113,-0.06756307,-0.0059827272,0.073545798,1.4486341
0.237,0.90768756,-2.2379575,-0.76477065,-0.066087482,-0.0085387859,0.074626267,1.4473266
0.2371,0.95723501,-2.2298087,-0.75470542,-0.064546672,-0.011086418,0.07563309,1.4460258
0.2372,1.0055864,-2.2197334,-0.74389539,-0.062942163,-0.013623109,0.076565272,1.4447333
0.2373,1.0526948,-2.2077413,-0.73235123,-0.061275538,-0.016146355,0.077421893,1.4434505
0.2374,1.0985143,-2.1938442,-0.72008432,-0.059548441,-0.018653667,0.078202108,1.4421788
0.2375,1.1430005,-2.1780558,-0.70710678,-0.057762577,-0.021142571,0.078905147,1.4409194
0.2376,1.1861101,-2.1603916,-0.69343141,-0.055919708,-0.023610609,0.079530317,1.4396739
0.2377,1.2278013,-2.1408688,-0.67907171,-0.054021653,-0.026055346,0.080076999,1.4384435
0.2378,1.2680337,-2.1195067,-0.66404184,-0.052070286,-0.028474369,0.080544655,1.4372294
0.2379,1.3067684,-2.0963263,-0.64835665,-0.050067531,-0.030865292,0.080932824,1.436033
0.238,1.3439678,-2.0713503,-0.6320316,-0.048015366,-0.033225755,0.081241121,1.4348554
0.2381,1.379596,-2.0446032,-0.61508282,-0.045915815,-0.035553428,0.081469243,1.4336978
0.2382,1.4136186,-2.0161114,-0.59752702,-0.043770951,-0.037846014,0.081616965,1.4325613
0.2383,1.4460028,-1.9859029,-0.57938154,-0.041582891,-0.04010125,0.081684141,1.4314471
0.2384,1.4767173,-1.9540072,-0.56066428,-0.039353793,-0.042316911,0.081670704,1.4303561
