t,ia,ib,ic,va,vb,vc,i_rms
0.831,-1.1396764,-0.057002292,-0.057002292,-0.043288013,0.1370218,-0.093733792,0.85283067
0.8311,-1.1274019,-0.082814182,-0.082814182,-0.047451408,0.13786903,-0.090417619,0.85272195
0.8312,-1.1140167,-0.10854434,-0.10854434,-0.051567975,0.13858019,-0.087012216,0.8526158
0.8313,-1.0995341,-0.13416739,-0.13416739,-0.05563365,0.13915459,-0.083520941,0.85251238
0.8314,-1.0839686,-0.15965802,-0.15965802,-0.059644421,0.13959166,-0.079947242,0.85241186
0.8315,-1.0673356,-0.18499109,-0.18499109,-0.06359633,0.13989097,-0.076294645,0.8523144
0.8316,-1.0496517,-0.2101416,-0.2101416,-0.067485478,0.14005223,-0.072566753,0.85222013
0.8317,-1.0309345,-0.23508473,-0.23508473,-0.071308025,0.14007527,-0.068767248,0.85212919
0.8318,-1.0112027,-0.25979585,-0.25979585,-0.0750602,0.13996008,-0.064899877,0.85204169
0.8319,-0.99047588,-0.28425059,-0.28425059,-0.0787383,0.13970676,-0.060968458,0.85195774
0.832,-0.96877459,-0.3084248,-0.3084248,-0.082338694,0.13931556,-0.05697687,0.85187742
0.8321,-0.94612042,-0.33229464,-0.33229464,-0.08585783,0.13878688,-0.052929053,0.85180082
0.8322,-0.92253584,-0.35583654,-0.35583654,-0.089292235,0.13812124,-0.048829002,0.85172798
0.8323,-0.89804427,-0.37902728,-0.37902728,-0.092638519,0.13731928,-0.044680762,0.85165895
0.8324,-0.87267001,-0.40184396,-0.40184396,-0.09589338,0.13638181,-0.040488428,0.85159377
0.8325,-0.84643822,-0.42426407,-0.42426407,-0.099053606,0.13530974,-0.036256136,0.85153245
0.8326,-0.81937491,-0.44626548,-0.44626548,-0.10211608,0.13410414,-0.031988064,0.85147498
0.8327,-0.79150691,-0.46782648,-0.46782648,-0.10507777,0.1327662,-0.027688424,0.85142136
0.8328,-0.76286182,-0.4889258,-0.4889258,-0.10793577,0.13129723,-0.023361459,0.85137155
0.8329,-0.73346804,-0.5095426,-0.5095426,-0.11068725,0.12969869,-0.019011438,0.8513255
0.833,-0.70335466,-0.52965655,-0.52965655,-0.11332949,0.12797215,-0.014642656,0.85128315
0.8331,-0.67255152,-0.54924778,-0.54924778,-0.11585989,0.12611931,-0.010259423,0.85124443
0.8332,-0.64108909,-0.56829698,-0.56829698,-0.11827595,0.12414201,-0.0058660653,0.85120925
0.8333,-0.60899854,-0.58678534,-0.58678534,-0.12057529,0.1220422,-0.0014669184,0.8511775
0.8334,-0.57631161,-0.60469461,-0.60469461,-0.12275563,0.11982195,0.002933676,0.85114907
0.8335,-0.54306064,-0.62200712,-0.62200712,-0.12481483,0.11748345,0.0073313753,0.85112383
0.8336,-0.50927853,-0.63870578,-0.63870578,-0.12675085,0.11502901,0.011721839,0.85110163
0.8337,-0.47499868,-0.65477412,-0.65477412,-0.12856178,0.11246104,0.016100736,0.85108232
0.8338,-0.44025501,-0.67019628,-0.67019628,-0.13024584,0.10978209,0.020463742,0.85106573
0.8339,-0.40508185,-0.68495703,-0.68495703,-0.13180136,0.1069948,0.024806553,0.85105168
0.834,-0.36951398,-0.69904181,-0.69904181,-0.13322681,0.10410192,0.029124884,0.85103999
0.8341,-0.33358655,-0.71243673,-0.71243673,-0.13452078,0.1011063,0.033414471,0.85103047
0.8342,-0.29733508,-0.72512855,-0.72512855,-0.13568199,0.098010907,0.037671083,0.8510229
0.8343,-0.26079536,-0.73710476,-0.73710476,-0.1367093,0.094818785,0.041890517,0.85101708
0.8344,-0.22400352,-0.74835354,-0.74835354,-0.1376017,0.091533088,0.046068611,0.85101279
0.8345,-0.18699588,-0.75886378,-0.75886378,-0.1383583,0.088157059,0.050201241,0.85100979
0.8346,-0.149809,-0.76862511,-0.76862511,-0.13897836,0.08469403,0.054284328,0.85100787
0.8347,-0.1124796,-0.77762791,-0.77762791,-0.13946126,0.081147418,0.058313843,0.85100679
0.8348,-0.075044542,-0.78586328,-0.78586328,-0.13980653,0.077520723,0.062285809,0.8510063
0.8349,-0.037540773,-0.7933231,-0.7933231,-0.14001383,0.073817524,0.066196307,0.85100618
0.835,-5.3155874e-06,-0.8,-0.8,-0.14008295,0.070041477,0.070041477,0.85100618
