dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,Rx_err_pct,J_final,n_iters,cpu_ms
self_consistent,450,0.6,2000.0,20.0,40.0,40.4030205627367,0.3067504205580917,4.341172776222211e-19,17,62.67087790183723
self_consistent,451,0.6,2000.0,20.0,inf,91.66666666666666,1.1577820071460792,2.2001942705643495e-13,6,66.57339097000659
self_consistent,452,0.6,2000.0,30.0,20.0,39.147399954330346,0.4369919888179993,5.308967893663105e-19,18,56.51042517274618
self_consistent,453,0.6,2000.0,30.0,30.0,26.60887672399509,0.3999706317879486,7.419361866190701e-19,36,69.11296700127423
self_consistent,454,0.6,2000.0,30.0,40.0,19.886019932286892,0.06629470032551125,6.805371924419792e-19,27,72.43753015063703
self_consistent,455,0.6,2000.0,30.0,inf,22.963458257843822,0.09714627080637683,8.478233814872073e-19,17,57.85765894688666
self_consistent,456,0.6,2000.0,40.0,20.0,36.83560184995198,1.1775205549286967,5.494190150502394e-19,22,62.49800114892423
self_consistent,457,0.6,2000.0,40.0,30.0,4.927766434746092,0.4345646383885423,6.824262682306543e-19,29,78.33060901612043
self_consistent,458,0.6,2000.0,40.0,40.0,12.822742991133248,0.20412821515960786,7.177442550297729e-19,22,76.1233118828386
self_consistent,459,0.6,2000.0,40.0,inf,0.6223264864984961,0.1433317740253642,7.748926363640833e-19,24,64.99149021692574
self_consistent,460,0.6,2000.0,inf,20.0,22.852808636736818,0.7085364606372423,7.321510900171252e-19,37,60.285245068371296
self_consistent,461,0.6,2000.0,inf,30.0,16.34911687326923,0.6805727347681341,8.864615124990055e-19,34,68.76729801297188
self_consistent,462,0.6,2000.0,inf,40.0,0.14302242374164553,0.15495874299033402,5.980509896337444e-19,25,72.72156095132232
self_consistent,463,0.6,2000.0,inf,inf,6.597474352017704e-05,0.00017973178514694155,8.143672203821654e-19,16,67.76572787202895
self_consistent,464,0.6,5000.0,20.0,20.0,2.8943711444497184,0.0,8.894128528256237e-11,5,70.03017887473106
self_consistent,465,0.6,5000.0,20.0,30.0,74.83383732773599,2.567569254089558,2.394965372268212e-19,10,74.57314897328615
self_consistent,466,0.6,5000.0,20.0,40.0,54.153921034251816,0.0,7.588090793015015e-12,4,60.76016207225621
self_consistent,467,0.6,5000.0,20.0,inf,91.66666666666666,0.8801298428539849,8.544855169564982e-12,55,80.35268587991595
self_consistent,468,0.6,5000.0,30.0,20.0,90.14805937391263,0.0,8.566578309542286e-12,3,54.140049032866955
self_consistent,469,0.6,5000.0,30.0,30.0,24.48275039168817,0.0,4.788054560602262e-13,5,63.7164949439466
self_consistent,470,0.6,5000.0,30.0,40.0,47.468067604435966,0.0,1.737673073319572e-13,5,61.17505580186844
self_consistent,471,0.6,5000.0,30.0,inf,2.563066919834045,0.0,2.0903724927956134e-12,5,57.68811097368598
self_consistent,472,0.6,5000.0,40.0,20.0,91.66666666666666,2.3066818277690073,1.908240535256861e-13,5,61.78778503090143
self_consistent,473,0.6,5000.0,40.0,30.0,0.865811375414971,0.0,1.4048473915396218e-14,4,58.16844990476966
self_consistent,474,0.6,5000.0,40.0,40.0,2.8565054355053263,0.0,1.1895964934724696e-13,5,66.9151870533824
self_consistent,475,0.6,5000.0,40.0,inf,10.560216531215971,0.0,1.0752693169103751e-15,5,56.8518009968102
self_consistent,476,0.6,5000.0,inf,20.0,5.488622277341371,1.8414374765266985,1.7756257843980266e-11,33,65.31244586221874
self_consistent,477,0.6,5000.0,inf,30.0,0.04356502167942219,0.0,5.585438283829428e-14,4,65.87503803893924
self_consistent,478,0.6,5000.0,inf,40.0,48.880573142076784,0.37390236429209833,7.846886767903492e-19,20,67.96091212891042
self_consistent,479,0.6,5000.0,inf,inf,0.0022925681272452834,0.0,3.85885974490582e-21,2,81.97091287001967
self_consistent,480,0.7,100.0,20.0,20.0,2.77882012953696,0.0,6.729854710105199e-10,3,65.43501582928002
self_consistent,481,0.7,100.0,20.0,30.0,3.0796429079086307,0.052846918730054426,2.7517056132606113e-17,6,62.478682957589626
self_consistent,482,0.7,100.0,20.0,40.0,0.8561447834134167,0.0,1.8897774549759894e-09,5,56.33801897056401
self_consistent,483,0.7,100.0,20.0,inf,0.9991721730663159,0.0049450782554743,3.721611504132877e-18,5,62.08988488651812
self_consistent,484,0.7,100.0,30.0,20.0,3.5940606759528673,0.0,3.807082912228327e-12,6,54.97776600532234
self_consistent,485,0.7,100.0,30.0,30.0,0.20509384110799025,0.0,2.6962610706530414e-11,4,56.290100095793605
self_consistent,486,0.7,100.0,30.0,40.0,1.8179219355180918,0.08584141995292782,4.128897183872905e-18,5,60.04758412018418
self_consistent,487,0.7,100.0,30.0,inf,0.48088595229802056,0.0,1.35686360015959e-10,3,52.529861917719245
self_consistent,488,0.7,100.0,40.0,20.0,0.35131317027941356,0.0,5.858605355287038e-09,4,53.23123000562191
self_consistent,489,0.7,100.0,40.0,30.0,0.0714639128424542,0.24484345763633542,1.5097509564719615e-17,6,55.76568702235818
self_consistent,490,0.7,100.0,40.0,40.0,1.7382696213819844,0.0,3.2803141122896186e-10,4,56.05610506609082
self_consistent,491,0.7,100.0,40.0,inf,0.04342692886264274,0.0,1.5674614118071127e-10,6,62.094812048599124
self_consistent,492,0.7,100.0,inf,20.0,1.7168072960968959,0.0,2.5218460221503106e-09,3,56.09452887438238
self_consistent,493,0.7,100.0,inf,30.0,0.2446389043358239,0.0,1.251136755829786e-11,3,61.452816938981414
self_consistent,494,0.7,100.0,inf,40.0,0.38011137869356904,0.2273980364857522,3.487538123541668e-17,7,60.4528000112623
self_consistent,495,0.7,100.0,inf,inf,0.00010358837234024167,9.158605791981245e-05,6.39107043927664e-17,6,62.42848583497107
self_consistent,496,0.7,500.0,20.0,20.0,34.685037072822794,1.504002848752259,4.847967502793817e-19,6,56.99045117944479
self_consistent,497,0.7,500.0,20.0,30.0,8.382300729551151,1.2693434717659442,2.705633415092288e-19,6,62.80292407609522
self_consistent,498,0.7,500.0,20.0,40.0,30.690418701721537,0.31222465356246404,7.431456154866858e-19,5,61.77908391691744
self_consistent,499,0.7,500.0,20.0,inf,3.0704610369010386,0.673206468113176,5.617553415451467e-20,6,62.90774396620691
self_consistent,500,0.7,500.0,30.0,20.0,1.3935089702355385,0.69023409923509,5.58629118089884e-20,6,54.34291996061802
self_consistent,501,0.7,500.0,30.0,30.0,7.451138726273184,0.06664992214525682,1.9139603379249214e-20,5,54.914691019803286
self_consistent,502,0.7,500.0,30.0,40.0,5.017296266082447,0.26815889981429564,7.791144179853369e-19,5,59.112797025591135
self_consistent,503,0.7,500.0,30.0,inf,0.8053704987828045,0.09487847555648159,1.4344252931798338e-19,5,57.39734508097172
self_consistent,504,0.7,500.0,40.0,20.0,7.164744242597165,1.8349388765127288,3.454951951272419e-19,6,53.58666507527232
self_consistent,505,0.7,500.0,40.0,30.0,4.474349843742557,0.11634860690924143,7.75478410673681e-20,5,57.83640407025814
self_consistent,506,0.7,500.0,40.0,40.0,1.024985863645443,0.0865304665870326,3.811670071423629e-20,5,58.74097207561135
self_consistent,507,0.7,500.0,40.0,inf,1.667296306348241,0.03362310100608283,2.3284881098502148e-20,5,54.79711201041937
self_consistent,508,0.7,500.0,inf,20.0,3.040313366626278,1.3279037879595195,2.6208606838174773e-19,6,57.91526916436851
self_consistent,509,0.7,500.0,inf,30.0,2.8983254260447504,0.4841658219023429,3.0580809048347e-20,6,66.27774983644485
self_consistent,510,0.7,500.0,inf,40.0,4.767927793322627,0.15480294994307542,1.7501988850073384e-19,5,57.17167793773115
self_consistent,511,0.7,500.0,inf,inf,0.0003199883916885479,3.8048140481805604e-06,7.848402490148972e-20,5,58.96259704604745
self_consistent,512,0.7,1000.0,20.0,20.0,35.714285714285715,1.9742974140701677,5.31887300218643e-10,5,60.59229513630271
self_consistent,513,0.7,1000.0,20.0,30.0,11.467491334189846,0.6792181634855069,6.729102837118478e-19,11,54.4671849347651
self_consistent,514,0.7,1000.0,20.0,40.0,47.988186870230614,0.2260256572957246,3.8536568256691257e-19,9,55.26075302623212
self_consistent,515,0.7,1000.0,20.0,inf,35.714285714285715,0.6003291251562246,5.0361658568262833e-11,4,60.44011702761054
self_consistent,516,0.7,1000.0,30.0,20.0,9.735151996780433,0.1024523493425022,6.13152322806877e-19,9,57.46570788323879
self_consistent,517,0.7,1000.0,30.0,30.0,0.5643645489660708,0.15289405584923088,3.098754072645707e-19,10,62.199841951951385
self_consistent,518,0.7,1000.0,30.0,40.0,2.4359539168796105,0.12030205010404416,1.8551035428553798e-19,10,57.19158402644098
self_consistent,519,0.7,1000.0,30.0,inf,10.67888140283911,0.4429460532632561,3.0625166928692887e-19,11,60.38079294376075
self_consistent,520,0.7,1000.0,40.0,20.0,17.559325147166483,0.2651491797277572,4.577602773932772e-19,10,59.07565890811384
self_consistent,521,0.7,1000.0,40.0,30.0,16.46236758744127,0.31079678796587584,6.815059297910493e-19,10,64.04947699047625
self_consistent,522,0.7,1000.0,40.0,40.0,1.4212571180215146,0.04459892579289999,2.341630809904496e-19,9,59.24384016543627
self_consistent,523,0.7,1000.0,40.0,inf,1.5589389015818111,0.07793811362676024,4.43370955787669e-19,9,56.345239048823714
