dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2_mean,loc_improvement_frac,loc_improvement_pct
pscad,192,0.300,1000.0,20.0,20.0,66.313198,99.966667,-0.507493,-50.7493
pscad,193,0.300,1000.0,20.0,30.0,8.333369,85.584890,-9.270142,-927.0142
pscad,194,0.300,1000.0,20.0,40.0,44.161006,99.966667,-1.263686,-126.3686
pscad,195,0.300,1000.0,20.0,inf,53.900371,99.966667,-0.854656,-85.4656
pscad,196,0.300,1000.0,30.0,20.0,16.845816,99.966667,-4.934213,-493.4213
pscad,197,0.300,1000.0,30.0,30.0,14.540584,99.966667,-5.875011,-587.5011
pscad,198,0.300,1000.0,30.0,40.0,6.909752,99.966667,-13.467475,-1346.7475
pscad,199,0.300,1000.0,30.0,inf,14.094214,99.966667,-6.092745,-609.2745
pscad,200,0.300,1000.0,40.0,20.0,83.333333,99.966667,-0.199600,-19.9600
pscad,201,0.300,1000.0,40.0,30.0,7.606226,99.966667,-12.142741,-1214.2741
pscad,202,0.300,1000.0,40.0,40.0,7.946421,99.966667,-11.580087,-1158.0087
pscad,203,0.300,1000.0,40.0,inf,8.048329,99.966667,-11.420798,-1142.0798
pscad,204,0.300,1000.0,inf,20.0,165.556164,99.966667,0.396177,39.6177
pscad,205,0.300,1000.0,inf,30.0,42.820279,99.966667,-1.334564,-133.4564
pscad,206,0.300,1000.0,inf,40.0,13.554432,99.966667,-6.375201,-637.5201
pscad,207,0.300,1000.0,inf,inf,8.936333,98.094390,-9.977029,-997.7029
pscad,208,0.300,2000.0,20.0,20.0,83.333333,99.966667,-0.199600,-19.9600
pscad,209,0.300,2000.0,20.0,30.0,72.833155,62.247640,0.145339,14.5339
pscad,210,0.300,2000.0,20.0,40.0,78.355703,23.381683,0.701596,70.1596
pscad,211,0.300,2000.0,20.0,inf,216.666667,233.300000,-0.076769,-7.6769
pscad,212,0.300,2000.0,30.0,20.0,13.690086,98.789086,-6.216104,-621.6104
pscad,213,0.300,2000.0,30.0,30.0,162.382427,146.913385,0.095263,9.5263
pscad,214,0.300,2000.0,30.0,40.0,47.865289,71.819903,-0.500459,-50.0459
pscad,215,0.300,2000.0,30.0,inf,27.071154,20.961513,0.225688,22.5688
pscad,216,0.300,2000.0,40.0,20.0,83.333333,23.202199,0.721574,72.1574
pscad,217,0.300,2000.0,40.0,30.0,42.336357,45.017704,-0.063334,-6.3334
pscad,218,0.300,2000.0,40.0,40.0,49.462066,78.230689,-0.581630,-58.1630
pscad,219,0.300,2000.0,40.0,inf,19.668709,61.619393,-2.132864,-213.2864
pscad,220,0.300,2000.0,inf,20.0,59.109058,59.337121,-0.003858,-0.3858
pscad,221,0.300,2000.0,inf,30.0,45.637108,65.204749,-0.428766,-42.8766
pscad,222,0.300,2000.0,inf,40.0,50.957895,88.141066,-0.729684,-72.9684
pscad,223,0.300,2000.0,inf,inf,32.775415,68.130327,-1.078702,-107.8702
pscad,224,0.300,5000.0,20.0,20.0,57.693187,99.966667,-0.732729,-73.2729
pscad,225,0.300,5000.0,20.0,30.0,111.439151,99.966667,0.102948,10.2948
pscad,226,0.300,5000.0,20.0,40.0,66.974800,99.966667,-0.492601,-49.2601
pscad,227,0.300,5000.0,20.0,inf,111.305460,99.966667,0.101871,10.1871
pscad,228,0.300,5000.0,30.0,20.0,11.166608,99.966667,-7.952286,-795.2286
pscad,229,0.300,5000.0,30.0,30.0,8.036936,99.966667,-11.438405,-1143.8405
pscad,230,0.300,5000.0,30.0,40.0,10.504797,99.966667,-8.516287,-851.6287
pscad,231,0.300,5000.0,30.0,inf,41.003391,99.966667,-1.438010,-143.8010
pscad,232,0.300,5000.0,40.0,20.0,109.097611,99.966667,0.083695,8.3695
pscad,233,0.300,5000.0,40.0,30.0,27.841475,99.966667,-2.590566,-259.0566
pscad,234,0.300,5000.0,40.0,40.0,12.344343,99.966667,-7.098177,-709.8177
pscad,235,0.300,5000.0,40.0,inf,19.322461,99.966667,-4.173599,-417.3599
pscad,236,0.300,5000.0,inf,20.0,83.333333,99.966667,-0.199600,-19.9600
pscad,237,0.300,5000.0,inf,30.0,8.723559,99.966667,-10.459391,-1045.9391
pscad,238,0.300,5000.0,inf,40.0,20.696634,99.966667,-3.830093,-383.0093
