dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,104,0.200,500.0,40.0,20.0,75.000000,95.997938,0.792612
pscad,105,0.200,500.0,40.0,30.0,36.909350,31.528235,0.995856
pscad,106,0.200,500.0,40.0,40.0,9.415643,19.007168,0.991552
pscad,107,0.200,500.0,40.0,inf,3.658191,4.079541,0.964356
pscad,108,0.200,500.0,inf,20.0,3.022477,4.023608,1.023263
pscad,109,0.200,500.0,inf,30.0,8.986947,1.101858,0.961208
pscad,110,0.200,500.0,inf,40.0,12.981855,6.033315,0.956963
pscad,111,0.200,500.0,inf,inf,4.841289,3.881860,0.956697
pscad,112,0.200,1000.0,20.0,20.0,43.943808,99.950000,10.961310
pscad,113,0.200,1000.0,20.0,30.0,75.000000,99.950000,11.060953
pscad,114,0.200,1000.0,20.0,40.0,75.000000,141.576124,12.386118
pscad,115,0.200,1000.0,20.0,inf,6.740951,99.950000,11.225643
pscad,116,0.200,1000.0,30.0,20.0,233.734521,233.724237,12.445690
pscad,117,0.200,1000.0,30.0,30.0,28.345763,99.950000,11.117523
pscad,118,0.200,1000.0,30.0,40.0,23.016657,99.950000,11.032088
pscad,119,0.200,1000.0,30.0,inf,28.551272,99.950000,11.088899
pscad,120,0.200,1000.0,40.0,20.0,21.281924,99.950000,11.132705
pscad,121,0.200,1000.0,40.0,30.0,38.406765,99.950000,11.013937
pscad,122,0.200,1000.0,40.0,40.0,8.132040,99.950000,11.068907
pscad,123,0.200,1000.0,40.0,inf,26.042232,99.950000,11.043755
pscad,124,0.200,1000.0,inf,20.0,15.612177,99.950000,11.009710
pscad,125,0.200,1000.0,inf,30.0,2.790766,99.950000,11.076011
pscad,126,0.200,1000.0,inf,40.0,13.206074,99.950000,11.064336
pscad,127,0.200,1000.0,inf,inf,18.127720,182.479063,12.114449
pscad,128,0.200,2000.0,20.0,20.0,20.015162,80.843214,1.011872
pscad,129,0.200,2000.0,20.0,30.0,49.628281,95.522134,0.827066
pscad,130,0.200,2000.0,20.0,40.0,186.566430,188.757955,1.063060
pscad,131,0.200,2000.0,20.0,inf,75.000000,99.950000,1.114720
pscad,132,0.200,2000.0,30.0,20.0,75.000000,99.950000,1.120757
pscad,133,0.200,2000.0,30.0,30.0,21.796546,26.278447,1.097111
pscad,134,0.200,2000.0,30.0,40.0,28.967051,85.852612,1.019193
