dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
emtp,24,0.100,500.0,40.0,20.0,34.140396,10.545218,0.915746
emtp,25,0.100,500.0,40.0,30.0,109.725563,92.497255,0.999005
emtp,26,0.100,500.0,40.0,40.0,44.845349,21.203966,0.941139
emtp,27,0.100,500.0,40.0,inf,13.077114,9.540628,0.979002
emtp,28,0.100,500.0,inf,20.0,18.068552,39.210702,1.087828
emtp,29,0.100,500.0,inf,30.0,63.649595,41.668275,0.957731
emtp,30,0.100,500.0,inf,40.0,8.339694,18.900518,0.971461
emtp,31,0.100,500.0,inf,inf,14.180684,9.571758,0.957120
emtp,32,0.100,1000.0,20.0,20.0,309.149103,99.900000,11.042998
emtp,33,0.100,1000.0,20.0,30.0,50.000000,99.900000,11.021367
emtp,34,0.100,1000.0,20.0,40.0,240.848768,99.900000,11.025932
emtp,35,0.100,1000.0,20.0,inf,15.661232,99.900000,11.197510
emtp,36,0.100,1000.0,30.0,20.0,87.521555,99.900000,11.190854
emtp,37,0.100,1000.0,30.0,30.0,50.000000,374.375307,12.305540
emtp,38,0.100,1000.0,30.0,40.0,50.000000,99.900000,11.082961
emtp,39,0.100,1000.0,30.0,inf,26.024749,99.900000,11.006500
emtp,40,0.100,1000.0,40.0,20.0,247.678607,99.900000,10.956082
emtp,41,0.100,1000.0,40.0,30.0,116.435810,99.900000,11.063811
emtp,42,0.100,1000.0,40.0,40.0,67.408089,99.900000,11.066820
emtp,43,0.100,1000.0,40.0,inf,64.351880,99.900000,11.054341
emtp,44,0.100,1000.0,inf,20.0,50.000000,99.900000,10.987699
emtp,45,0.100,1000.0,inf,30.0,39.915376,99.900000,11.077225
emtp,46,0.100,1000.0,inf,40.0,81.176282,99.900000,11.040609
emtp,47,0.100,1000.0,inf,inf,48.174987,438.960079,12.139149
emtp,48,0.100,2000.0,20.0,20.0,546.153569,618.490045,0.768340
emtp,49,0.100,2000.0,20.0,30.0,50.000000,99.900000,0.968266
emtp,50,0.100,2000.0,20.0,40.0,50.000000,99.900000,0.863445
emtp,51,0.100,2000.0,20.0,inf,651.224040,485.804933,1.227581
emtp,52,0.100,2000.0,30.0,20.0,353.169263,445.291544,0.994145
emtp,53,0.100,2000.0,30.0,30.0,232.044220,392.865718,0.948336
emtp,54,0.100,2000.0,30.0,40.0,221.330167,302.615250,1.045040
emtp,55,0.100,2000.0,30.0,inf,165.985911,263.921203,1.025382
emtp,56,0.100,2000.0,40.0,20.0,50.000000,50.038552,1.024937
emtp,57,0.100,2000.0,40.0,30.0,113.633969,171.725879,1.062779
emtp,58,0.100,2000.0,40.0,40.0,109.941896,231.304878,1.012940
emtp,59,0.100,2000.0,40.0,inf,154.110186,262.036460,1.023421
emtp,60,0.100,2000.0,inf,20.0,50.000000,99.900000,1.010405
emtp,61,0.100,2000.0,inf,30.0,183.771685,272.447070,1.039598
emtp,62,0.100,2000.0,inf,40.0,174.697493,301.897706,1.004380
emtp,63,0.100,2000.0,inf,inf,135.231444,242.497184,1.021903
emtp,64,0.100,5000.0,20.0,20.0,43.153062,99.900000,4.888769
emtp,65,0.100,5000.0,20.0,30.0,302.243279,99.900000,4.724984
emtp,66,0.100,5000.0,20.0,40.0,1.642940,99.900000,4.932067
emtp,67,0.100,5000.0,20.0,inf,22.641159,99.900000,4.251286
emtp,68,0.100,5000.0,30.0,20.0,148.087836,99.900000,4.672467
emtp,69,0.100,5000.0,30.0,30.0,233.234084,99.900000,4.726918
emtp,70,0.100,5000.0,30.0,40.0,332.080786,99.900000,4.790469
emtp,71,0.100,5000.0,30.0,inf,104.152305,99.900000,4.742380
emtp,72,0.100,5000.0,40.0,20.0,525.925173,99.900000,4.964805
emtp,73,0.100,5000.0,40.0,30.0,50.000000,99.900000,4.556116
emtp,74,0.100,5000.0,40.0,40.0,202.096701,99.900000,4.745899
emtp,75,0.100,5000.0,40.0,inf,195.339714,99.900000,4.723331
emtp,76,0.100,5000.0,inf,20.0,526.344741,99.900000,4.983195
emtp,77,0.100,5000.0,inf,30.0,213.704292,99.900000,4.774385
emtp,78,0.100,5000.0,inf,40.0,192.083058,99.900000,4.705706
emtp,79,0.100,5000.0,inf,inf,182.074224,99.900000,4.748003
emtp,80,0.200,100.0,20.0,20.0,10.361705,32.559977,7.640256
emtp,81,0.200,100.0,20.0,30.0,18.904473,42.488713,7.591717
emtp,82,0.200,100.0,20.0,40.0,6.602177,32.122000,7.492822
emtp,83,0.200,100.0,20.0,inf,8.703772,17.271696,7.382124
emtp,84,0.200,100.0,30.0,20.0,3.939458,21.820552,7.554088
emtp,85,0.200,100.0,30.0,30.0,2.137887,27.047325,7.560917
emtp,86,0.200,100.0,30.0,40.0,4.037889,21.884406,7.495123
emtp,87,0.200,100.0,30.0,inf,5.816492,32.134838,7.456014
emtp,88,0.200,100.0,40.0,20.0,4.838106,22.054060,7.413786
emtp,89,0.200,100.0,40.0,30.0,2.417852,22.137782,7.493465
emtp,90,0.200,100.0,40.0,40.0,1.475231,27.037292,7.492661
emtp,91,0.200,100.0,40.0,inf,1.517388,22.234279,7.505806
emtp,92,0.200,100.0,inf,20.0,10.688997,12.292741,7.487013
emtp,93,0.200,100.0,inf,30.0,0.760379,22.340377,7.523413
emtp,94,0.200,100.0,inf,40.0,0.056270,22.511114,7.489829
emtp,95,0.200,100.0,inf,inf,0.082925,26.790178,7.502238
emtp,96,0.200,500.0,20.0,20.0,14.000374,5.462115,0.656543
emtp,97,0.200,500.0,20.0,30.0,14.735910,10.747289,1.043467
emtp,98,0.200,500.0,20.0,40.0,4.512185,9.602338,1.026757
emtp,99,0.200,500.0,20.0,inf,1.374743,8.891161,1.065234
emtp,100,0.200,500.0,30.0,20.0,59.570521,56.690239,0.927857
emtp,101,0.200,500.0,30.0,30.0,26.809629,21.181753,0.943820
emtp,102,0.200,500.0,30.0,40.0,3.583090,4.122499,0.954673
emtp,103,0.200,500.0,30.0,inf,4.683311,4.089710,0.897334
emtp,104,0.200,500.0,40.0,20.0,3.291252,4.020923,1.007178
emtp,105,0.200,500.0,40.0,30.0,21.610513,29.460498,1.040623
emtp,106,0.200,500.0,40.0,40.0,4.946542,13.996614,0.987709
emtp,107,0.200,500.0,40.0,inf,12.082652,5.901572,0.971469
emtp,108,0.200,500.0,inf,20.0,41.565851,54.494202,0.964562
emtp,109,0.200,500.0,inf,30.0,29.357283,25.855184,0.941880
emtp,110,0.200,500.0,inf,40.0,8.992892,1.119174,0.967073
emtp,111,0.200,500.0,inf,inf,4.841549,3.881813,0.956697
emtp,112,0.200,1000.0,20.0,20.0,63.483242,99.950000,10.987245
emtp,113,0.200,1000.0,20.0,30.0,70.569166,141.880873,12.447895
emtp,114,0.200,1000.0,20.0,40.0,75.000000,99.950000,11.046179
emtp,115,0.200,1000.0,20.0,inf,70.301153,142.839116,12.381088
emtp,116,0.200,1000.0,30.0,20.0,16.740852,99.950000,11.089639
emtp,117,0.200,1000.0,30.0,30.0,26.062451,99.950000,11.023951
emtp,118,0.200,1000.0,30.0,40.0,42.281876,99.950000,11.012253
emtp,119,0.200,1000.0,30.0,inf,13.606828,99.950000,11.107959
emtp,120,0.200,1000.0,40.0,20.0,75.000000,127.337394,12.451864
emtp,121,0.200,1000.0,40.0,30.0,60.307544,99.950000,11.074330
emtp,122,0.200,1000.0,40.0,40.0,23.512974,99.950000,11.052651
emtp,123,0.200,1000.0,40.0,inf,36.083797,99.950000,11.034918
emtp,124,0.200,1000.0,inf,20.0,75.000000,99.950000,11.172833
emtp,125,0.200,1000.0,inf,30.0,42.802457,99.950000,11.064461
emtp,126,0.200,1000.0,inf,40.0,22.882760,99.950000,11.058198
emtp,127,0.200,1000.0,inf,inf,18.128618,182.479237,12.114449
emtp,128,0.200,2000.0,20.0,20.0,75.000000,2.376989,0.763358
emtp,129,0.200,2000.0,20.0,30.0,171.642832,222.740003,0.900465
emtp,130,0.200,2000.0,20.0,40.0,194.553194,249.182869,0.760095
emtp,131,0.200,2000.0,20.0,inf,35.313986,135.516705,0.731267
emtp,132,0.200,2000.0,30.0,20.0,75.000000,12.023150,0.757658
emtp,133,0.200,2000.0,30.0,30.0,177.509966,168.291995,1.101770
emtp,134,0.200,2000.0,30.0,40.0,132.463892,172.895483,1.003853
emtp,135,0.200,2000.0,30.0,inf,25.122028,50.181194,0.986753
emtp,136,0.200,2000.0,40.0,20.0,7.353806,70.709685,1.007784
emtp,137,0.200,2000.0,40.0,30.0,13.805786,120.774063,0.907352
emtp,138,0.200,2000.0,40.0,40.0,41.963374,101.928788,1.003600
emtp,139,0.200,2000.0,40.0,inf,68.968060,116.761518,1.025821
emtp,140,0.200,2000.0,inf,20.0,46.268787,9.695941,1.040351
emtp,141,0.200,2000.0,inf,30.0,248.659435,233.740677,1.048837
emtp,142,0.200,2000.0,inf,40.0,62.523451,126.725312,0.990818
emtp,143,0.200,2000.0,inf,inf,56.645570,112.088852,1.009350
emtp,144,0.200,5000.0,20.0,20.0,45.325686,99.950000,5.202929
emtp,145,0.200,5000.0,20.0,30.0,105.231774,99.950000,4.901727
emtp,146,0.200,5000.0,20.0,40.0,61.621976,99.950000,4.378304
emtp,147,0.200,5000.0,20.0,inf,75.000000,99.950000,4.832986
emtp,148,0.200,5000.0,30.0,20.0,75.000000,99.950000,4.831332
emtp,149,0.200,5000.0,30.0,30.0,27.715303,99.950000,4.670302
emtp,150,0.200,5000.0,30.0,40.0,50.662336,99.950000,4.632138
emtp,151,0.200,5000.0,30.0,inf,68.586679,99.950000,4.814729
emtp,152,0.200,5000.0,40.0,20.0,10.637518,99.950000,4.899107
emtp,153,0.200,5000.0,40.0,30.0,26.099759,99.950000,4.837644
emtp,154,0.200,5000.0,40.0,40.0,57.301230,99.950000,4.789298
emtp,155,0.200,5000.0,40.0,inf,67.949305,99.950000,4.810794
emtp,156,0.200,5000.0,inf,20.0,39.725692,99.950000,4.445400
emtp,157,0.200,5000.0,inf,30.0,86.437882,99.950000,4.723046
emtp,158,0.200,5000.0,inf,40.0,63.831788,99.950000,4.762621
emtp,159,0.200,5000.0,inf,inf,62.682358,99.950000,4.775350
emtp,160,0.300,100.0,20.0,20.0,14.542861,31.843343,7.663060
emtp,161,0.300,100.0,20.0,30.0,5.384086,21.876131,7.631649
emtp,162,0.300,100.0,20.0,40.0,0.669842,18.550605,7.439186
emtp,163,0.300,100.0,20.0,inf,8.771340,25.329339,7.517238
emtp,164,0.300,100.0,30.0,20.0,5.102649,15.012748,7.356307
emtp,165,0.300,100.0,30.0,30.0,8.161448,8.640709,7.420473
emtp,166,0.300,100.0,30.0,40.0,1.517602,18.534979,7.497052
emtp,167,0.300,100.0,30.0,inf,1.693737,18.677587,7.450688
emtp,168,0.300,100.0,40.0,20.0,3.424500,21.957386,7.393193
emtp,169,0.300,100.0,40.0,30.0,2.659650,18.659705,7.528080
emtp,170,0.300,100.0,40.0,40.0,0.698113,18.366277,7.514344
emtp,171,0.300,100.0,40.0,inf,0.556726,15.325056,7.507265
emtp,172,0.300,100.0,inf,20.0,2.357117,15.153488,7.465514
emtp,173,0.300,100.0,inf,30.0,5.005600,11.852316,7.476826
emtp,174,0.300,100.0,inf,40.0,1.362498,15.193561,7.510566
emtp,175,0.300,100.0,inf,inf,0.102853,18.273597,7.502385
emtp,176,0.300,500.0,20.0,20.0,50.339623,51.880298,0.928207
emtp,177,0.300,500.0,20.0,30.0,30.375371,31.124971,1.081512
emtp,178,0.300,500.0,20.0,40.0,48.826786,48.153530,1.204331
emtp,179,0.300,500.0,20.0,inf,20.139140,18.204468,0.965066
emtp,180,0.300,500.0,30.0,20.0,3.357466,1.091945,0.908951
emtp,181,0.300,500.0,30.0,30.0,29.442958,28.276120,1.003276
emtp,182,0.300,500.0,30.0,40.0,23.092549,21.518162,1.000258
emtp,183,0.300,500.0,30.0,inf,5.758167,9.027552,0.905342
emtp,184,0.300,500.0,40.0,20.0,28.167708,32.586391,1.053218
emtp,185,0.300,500.0,40.0,30.0,7.749430,9.366458,0.954852
emtp,186,0.300,500.0,40.0,40.0,5.674649,8.985010,0.947542
emtp,187,0.300,500.0,40.0,inf,4.282373,1.268049,0.945927
emtp,188,0.300,500.0,inf,20.0,12.840512,15.816332,1.054666
emtp,189,0.300,500.0,inf,30.0,4.301760,5.914424,0.980222
emtp,190,0.300,500.0,inf,40.0,10.055912,7.938768,0.964647
emtp,191,0.300,500.0,inf,inf,1.907115,0.827875,0.956325
emtp,192,0.300,1000.0,20.0,20.0,29.546194,99.966667,11.240064
emtp,193,0.300,1000.0,20.0,30.0,7.618611,99.966667,11.125834
emtp,194,0.300,1000.0,20.0,40.0,67.861197,99.966667,11.093446
emtp,195,0.300,1000.0,20.0,inf,9.079819,99.966667,11.007212
emtp,196,0.300,1000.0,30.0,20.0,118.717343,99.966667,11.092669
emtp,197,0.300,1000.0,30.0,30.0,27.534274,99.966667,11.055871
emtp,198,0.300,1000.0,30.0,40.0,8.240845,99.966667,11.062518
emtp,199,0.300,1000.0,30.0,inf,4.784323,99.966667,11.052497
emtp,200,0.300,1000.0,40.0,20.0,83.333333,99.966667,10.947663
emtp,201,0.300,1000.0,40.0,30.0,0.697281,99.966667,11.048287
emtp,202,0.300,1000.0,40.0,40.0,14.730664,99.966667,11.054369
emtp,203,0.300,1000.0,40.0,inf,20.640000,99.966667,11.064149
emtp,204,0.300,1000.0,inf,20.0,142.112664,99.966667,11.182923
emtp,205,0.300,1000.0,inf,30.0,0.275569,99.966667,11.081496
emtp,206,0.300,1000.0,inf,40.0,9.870680,99.966667,11.076677
emtp,207,0.300,1000.0,inf,inf,8.936783,98.094474,12.094926
emtp,208,0.300,2000.0,20.0,20.0,83.333333,99.966667,1.036766
emtp,209,0.300,2000.0,20.0,30.0,41.095088,59.311809,1.124062
emtp,210,0.300,2000.0,20.0,40.0,14.598415,17.364566,1.034152
emtp,211,0.300,2000.0,20.0,inf,149.761294,116.063987,1.142790
emtp,212,0.300,2000.0,30.0,20.0,47.774973,3.874616,1.206462
emtp,213,0.300,2000.0,30.0,30.0,60.447873,95.106232,0.958029
emtp,214,0.300,2000.0,30.0,40.0,28.088526,13.850337,1.008138
emtp,215,0.300,2000.0,30.0,inf,5.856069,37.588782,1.030992
emtp,216,0.300,2000.0,40.0,20.0,117.530047,125.670699,0.963655
emtp,217,0.300,2000.0,40.0,30.0,10.097604,34.634565,1.046838
emtp,218,0.300,2000.0,40.0,40.0,45.468646,78.242744,0.994341
emtp,219,0.300,2000.0,40.0,inf,55.512766,88.453304,0.976375
emtp,220,0.300,2000.0,inf,20.0,47.400399,88.475460,0.947085
emtp,221,0.300,2000.0,inf,30.0,40.999421,81.617597,0.962803
emtp,222,0.300,2000.0,inf,40.0,15.799639,61.546115,0.969453
emtp,223,0.300,2000.0,inf,inf,32.776965,68.130583,0.998042
emtp,224,0.300,5000.0,20.0,20.0,83.333333,99.966667,4.704737
emtp,225,0.300,5000.0,20.0,30.0,3.847372,99.966667,4.653616
emtp,226,0.300,5000.0,20.0,40.0,83.333333,99.966667,4.650220
emtp,227,0.300,5000.0,20.0,inf,62.536709,99.966667,4.724191
emtp,228,0.300,5000.0,30.0,20.0,12.251838,99.966667,4.749167
emtp,229,0.300,5000.0,30.0,30.0,9.470029,99.966667,4.769128
emtp,230,0.300,5000.0,30.0,40.0,24.975409,99.966667,4.779367
emtp,231,0.300,5000.0,30.0,inf,80.512105,99.966667,4.903464
emtp,232,0.300,5000.0,40.0,20.0,17.392158,99.966667,4.518182
emtp,233,0.300,5000.0,40.0,30.0,64.803547,99.966667,4.839340
emtp,234,0.300,5000.0,40.0,40.0,10.696143,99.966667,4.760235
emtp,235,0.300,5000.0,40.0,inf,19.312895,99.966667,4.818273
emtp,236,0.300,5000.0,inf,20.0,108.635157,99.966667,4.962666
emtp,237,0.300,5000.0,inf,30.0,80.005696,99.966667,4.906411
emtp,238,0.300,5000.0,inf,40.0,8.947201,99.966667,4.755481
emtp,239,0.300,5000.0,inf,inf,22.340681,99.966667,4.799172
emtp,240,0.400,100.0,20.0,20.0,11.993462,1.581853,7.438681
emtp,241,0.400,100.0,20.0,30.0,7.139277,6.417132,7.602701
emtp,242,0.400,100.0,20.0,40.0,0.731796,14.059768,7.614557
emtp,243,0.400,100.0,20.0,inf,4.394320,16.785516,7.591707
emtp,244,0.400,100.0,30.0,20.0,7.736174,21.778534,7.453654
emtp,245,0.400,100.0,30.0,30.0,1.682603,13.993891,7.399772
emtp,246,0.400,100.0,30.0,40.0,1.983780,16.523338,7.490641
emtp,247,0.400,100.0,30.0,inf,0.164217,14.047330,7.514597
emtp,248,0.400,100.0,40.0,20.0,1.992501,11.502162,7.600029
emtp,249,0.400,100.0,40.0,30.0,1.309456,11.732337,7.483550
emtp,250,0.400,100.0,40.0,40.0,0.380215,14.099021,7.505138
emtp,251,0.400,100.0,40.0,inf,0.070187,14.050000,7.495004
emtp,252,0.400,100.0,inf,20.0,0.886008,14.004343,7.761076
emtp,253,0.400,100.0,inf,30.0,1.315598,14.188036,7.547217
emtp,254,0.400,100.0,inf,40.0,0.800689,11.788871,7.494523
emtp,255,0.400,100.0,inf,inf,0.211791,16.150026,7.508870
emtp,256,0.400,500.0,20.0,20.0,40.078087,43.945397,1.006281
emtp,257,0.400,500.0,20.0,30.0,23.632341,26.731817,0.818938
emtp,258,0.400,500.0,20.0,40.0,36.551665,39.313461,1.046188
emtp,259,0.400,500.0,20.0,inf,2.688790,3.481063,1.036934
emtp,260,0.400,500.0,30.0,20.0,26.836108,29.182162,0.913767
emtp,261,0.400,500.0,30.0,30.0,11.225870,13.622932,0.930952
emtp,262,0.400,500.0,30.0,40.0,9.950169,11.134195,1.014509
emtp,263,0.400,500.0,30.0,inf,7.349677,8.519390,1.039377
emtp,264,0.400,500.0,40.0,20.0,19.144573,18.900042,1.114808
emtp,265,0.400,500.0,40.0,30.0,12.052875,11.738115,0.949615
emtp,266,0.400,500.0,40.0,40.0,5.678197,6.360843,0.957569
emtp,267,0.400,500.0,40.0,inf,0.901706,1.264568,0.947341
emtp,268,0.400,500.0,inf,20.0,34.325746,36.551211,1.021274
emtp,269,0.400,500.0,inf,30.0,5.347591,6.146860,0.981101
emtp,270,0.400,500.0,inf,40.0,0.928838,1.284997,0.961432
emtp,271,0.400,500.0,inf,inf,0.541566,1.093095,0.956474
emtp,272,0.400,1000.0,20.0,20.0,87.500000,99.975000,11.253389
emtp,273,0.400,1000.0,20.0,30.0,37.940470,99.975000,11.124052
emtp,274,0.400,1000.0,20.0,40.0,78.577529,70.759250,12.544254
emtp,275,0.400,1000.0,20.0,inf,11.108378,99.975000,10.998265
emtp,276,0.400,1000.0,30.0,20.0,41.317010,99.975000,11.059483
emtp,277,0.400,1000.0,30.0,30.0,28.710398,99.975000,11.178571
emtp,278,0.400,1000.0,30.0,40.0,2.424060,99.975000,11.054940
emtp,279,0.400,1000.0,30.0,inf,1.632286,99.975000,11.072199
emtp,280,0.400,1000.0,40.0,20.0,67.012879,99.975000,11.074665
emtp,281,0.400,1000.0,40.0,30.0,16.497022,99.975000,11.084249
emtp,282,0.400,1000.0,40.0,40.0,12.357066,99.975000,11.079842
emtp,283,0.400,1000.0,40.0,inf,4.854494,99.975000,11.090333
emtp,284,0.400,1000.0,inf,20.0,118.443285,99.975000,11.025319
emtp,285,0.400,1000.0,inf,30.0,25.681677,99.975000,11.120619
emtp,286,0.400,1000.0,inf,40.0,0.213862,99.975000,11.049690
emtp,287,0.400,1000.0,inf,inf,4.905251,55.751669,12.080112
emtp,288,0.400,2000.0,20.0,20.0,137.500000,149.975000,0.761658
emtp,289,0.400,2000.0,20.0,30.0,3.960294,23.851289,0.990730
emtp,290,0.400,2000.0,20.0,40.0,87.500000,13.253279,0.755730
emtp,291,0.400,2000.0,20.0,inf,12.871582,51.624487,0.865640
emtp,292,0.400,2000.0,30.0,20.0,137.500000,129.062903,1.101718
emtp,293,0.400,2000.0,30.0,30.0,2.821497,43.887238,0.887203
emtp,294,0.400,2000.0,30.0,40.0,35.292813,54.120036,0.963559
emtp,295,0.400,2000.0,30.0,inf,96.333407,84.743081,0.952154
emtp,296,0.400,2000.0,40.0,20.0,63.310302,69.595987,0.950791
emtp,297,0.400,2000.0,40.0,30.0,29.600858,46.274658,1.003819
emtp,298,0.400,2000.0,40.0,40.0,16.393465,38.758766,0.993940
emtp,299,0.400,2000.0,40.0,inf,13.505781,36.580738,0.988608
emtp,300,0.400,2000.0,inf,20.0,137.500000,149.975000,1.147821
emtp,301,0.400,2000.0,inf,30.0,14.311021,18.301710,0.985652
emtp,302,0.400,2000.0,inf,40.0,10.980407,31.404535,1.011390
emtp,303,0.400,2000.0,inf,inf,22.937700,43.885808,0.987191
emtp,304,0.400,5000.0,20.0,20.0,59.032338,99.975000,5.125227
emtp,305,0.400,5000.0,20.0,30.0,50.130883,99.975000,4.923700
emtp,306,0.400,5000.0,20.0,40.0,57.020687,99.975000,5.058650
emtp,307,0.400,5000.0,20.0,inf,58.576610,99.975000,5.318067
emtp,308,0.400,5000.0,30.0,20.0,42.956724,99.975000,4.553233
emtp,309,0.400,5000.0,30.0,30.0,72.576827,99.975000,4.629374
emtp,310,0.400,5000.0,30.0,40.0,15.338412,99.975000,4.878157
emtp,311,0.400,5000.0,30.0,inf,13.001881,99.975000,4.852504
emtp,312,0.400,5000.0,40.0,20.0,65.758960,99.975000,4.784740
emtp,313,0.400,5000.0,40.0,30.0,1.035602,99.975000,4.769936
emtp,314,0.400,5000.0,40.0,40.0,11.822196,99.975000,4.857769
emtp,315,0.400,5000.0,40.0,inf,1.402879,99.975000,4.818543
emtp,316,0.400,5000.0,inf,20.0,9.121978,99.975000,5.277513
emtp,317,0.400,5000.0,inf,30.0,31.782738,99.975000,4.891190
emtp,318,0.400,5000.0,inf,40.0,3.333008,99.975000,4.810860
emtp,319,0.400,5000.0,inf,inf,1.251858,99.975000,4.819468
emtp,320,0.500,100.0,20.0,20.0,7.688483,19.449794,7.594009
emtp,321,0.500,100.0,20.0,30.0,1.961438,13.430546,7.577147
emtp,322,0.500,100.0,20.0,40.0,2.458162,13.436033,7.719809
emtp,323,0.500,100.0,20.0,inf,3.631244,7.395367,7.633333
emtp,324,0.500,100.0,30.0,20.0,5.101858,5.492069,7.556575
emtp,325,0.500,100.0,30.0,30.0,0.212170,11.611593,7.454602
emtp,326,0.500,100.0,30.0,40.0,3.320459,7.590970,7.478347
emtp,327,0.500,100.0,30.0,inf,0.168945,11.554110,7.485501
emtp,328,0.500,100.0,40.0,20.0,1.334661,13.506460,7.453217
emtp,329,0.500,100.0,40.0,30.0,1.634403,9.562705,7.482475
emtp,330,0.500,100.0,40.0,40.0,0.824973,11.616400,7.508907
emtp,331,0.500,100.0,40.0,inf,0.325275,11.450597,7.502366
emtp,332,0.500,100.0,inf,20.0,0.557548,11.653628,7.358647
emtp,333,0.500,100.0,inf,30.0,3.916923,7.450511,7.508534
emtp,334,0.500,100.0,inf,40.0,0.229344,11.507378,7.519654
emtp,335,0.500,100.0,inf,inf,0.287714,13.164157,7.509119
emtp,336,0.500,500.0,20.0,20.0,39.264569,43.754285,0.982223
emtp,337,0.500,500.0,20.0,30.0,11.715809,10.966095,0.967414
emtp,338,0.500,500.0,20.0,40.0,16.905553,16.949056,0.953325
emtp,339,0.500,500.0,20.0,inf,6.030591,9.109580,0.968422
emtp,340,0.500,500.0,30.0,20.0,2.875595,5.173289,0.965470
emtp,341,0.500,500.0,30.0,30.0,3.476689,5.371847,0.927059
emtp,342,0.500,500.0,30.0,40.0,8.126081,11.365611,0.896595
emtp,343,0.500,500.0,30.0,inf,3.837614,2.795812,0.969891
emtp,344,0.500,500.0,40.0,20.0,18.896643,25.368460,0.841502
emtp,345,0.500,500.0,40.0,30.0,4.055491,2.798595,0.949624
emtp,346,0.500,500.0,40.0,40.0,2.726778,5.156933,0.960643
emtp,347,0.500,500.0,40.0,inf,1.033243,1.105028,0.958640
emtp,348,0.500,500.0,inf,20.0,42.065177,43.329160,1.199171
emtp,349,0.500,500.0,inf,30.0,14.886785,13.176205,0.925078
emtp,350,0.500,500.0,inf,40.0,0.261746,3.040828,0.951617
emtp,351,0.500,500.0,inf,inf,0.224049,1.258115,0.956737
emtp,352,0.500,1000.0,20.0,20.0,90.000000,99.980000,11.001866
emtp,353,0.500,1000.0,20.0,30.0,14.398731,99.980000,11.191460
emtp,354,0.500,1000.0,20.0,40.0,90.000000,99.980000,11.165753
emtp,355,0.500,1000.0,20.0,inf,37.440830,99.980000,11.080205
emtp,356,0.500,1000.0,30.0,20.0,20.928769,99.980000,11.075953
emtp,357,0.500,1000.0,30.0,30.0,9.813815,99.980000,11.150800
emtp,358,0.500,1000.0,30.0,40.0,10.468221,99.980000,11.168938
emtp,359,0.500,1000.0,30.0,inf,26.699115,99.980000,11.113994
emtp,360,0.500,1000.0,40.0,20.0,39.525938,99.980000,11.039762
emtp,361,0.500,1000.0,40.0,30.0,15.705003,99.980000,11.088105
emtp,362,0.500,1000.0,40.0,40.0,7.556162,99.980000,11.083856
emtp,363,0.500,1000.0,40.0,inf,5.379968,99.980000,11.075957
emtp,364,0.500,1000.0,inf,20.0,42.576907,99.980000,11.181485
emtp,365,0.500,1000.0,inf,30.0,21.956118,99.980000,11.091361
emtp,366,0.500,1000.0,inf,40.0,0.715966,99.980000,11.083972
emtp,367,0.500,1000.0,inf,inf,2.886549,29.495282,12.069962
emtp,368,0.500,2000.0,20.0,20.0,90.000000,99.980000,1.203663
emtp,369,0.500,2000.0,20.0,30.0,90.000000,59.477268,1.149231
emtp,370,0.500,2000.0,20.0,40.0,5.124185,21.327616,0.896370
emtp,371,0.500,2000.0,20.0,inf,50.487761,8.470250,0.745335
emtp,372,0.500,2000.0,30.0,20.0,90.000000,99.980000,0.928677
emtp,373,0.500,2000.0,30.0,30.0,4.837307,25.225765,0.920659
emtp,374,0.500,2000.0,30.0,40.0,20.398415,21.306276,1.054867
emtp,375,0.500,2000.0,30.0,inf,29.863662,37.688978,0.911121
emtp,376,0.500,2000.0,40.0,20.0,90.000000,99.980000,1.066806
emtp,377,0.500,2000.0,40.0,30.0,1.863546,15.081645,1.008223
emtp,378,0.500,2000.0,40.0,40.0,10.567187,23.447906,0.972574
emtp,379,0.500,2000.0,40.0,inf,0.991414,17.330213,0.977225
emtp,380,0.500,2000.0,inf,20.0,51.756024,35.580049,1.105432
emtp,381,0.500,2000.0,inf,30.0,14.119794,7.048253,1.072994
emtp,382,0.500,2000.0,inf,40.0,20.572854,27.632934,0.985783
emtp,383,0.500,2000.0,inf,inf,18.988964,27.580015,0.977615
emtp,384,0.500,5000.0,20.0,20.0,25.055940,99.980000,4.737656
emtp,385,0.500,5000.0,20.0,30.0,23.887678,99.980000,4.812243
emtp,386,0.500,5000.0,20.0,40.0,41.812848,99.980000,5.215820
emtp,387,0.500,5000.0,20.0,inf,56.659360,99.980000,4.611736
emtp,388,0.500,5000.0,30.0,20.0,70.552951,99.980000,5.073362
emtp,389,0.500,5000.0,30.0,30.0,55.504367,99.980000,4.631126
emtp,390,0.500,5000.0,30.0,40.0,32.201501,99.980000,4.811494
emtp,391,0.500,5000.0,30.0,inf,25.537112,99.980000,5.042999
emtp,392,0.500,5000.0,40.0,20.0,29.080324,99.980000,4.605431
emtp,393,0.500,5000.0,40.0,30.0,5.966731,99.980000,4.887968
emtp,394,0.500,5000.0,40.0,40.0,15.832085,99.980000,4.784862
emtp,395,0.500,5000.0,40.0,inf,13.523773,99.980000,4.841166
emtp,396,0.500,5000.0,inf,20.0,45.546428,99.980000,4.687570
emtp,397,0.500,5000.0,inf,30.0,36.613524,99.980000,4.811508
emtp,398,0.500,5000.0,inf,40.0,38.822379,99.980000,4.771549
