dataset,cell,alpha,Rx,snrV,snrI,n_trials,loc_mean_pct,loc_p95_pct,Rx_mean_pct,Rx_p95_pct
ref50,237,0.3,5000.0,inf,30.0,1,99.96666666666667,99.96666666666667,4.6758375539168995,4.6758375539168995
ref50,238,0.3,5000.0,inf,40.0,1,99.96666666666667,99.96666666666667,4.7958461678415185,4.7958461678415185
ref50,239,0.3,5000.0,inf,inf,1,99.96666666666667,99.96666666666667,4.79917179639986,4.79917179639986
ref50,240,0.4,100.0,20.0,20.0,1,1.4046487436113198,1.4046487436113198,7.650458027784566,7.650458027784566
ref50,241,0.4,100.0,20.0,30.0,1,11.773166620178563,11.773166620178563,7.504390061837427,7.504390061837427
ref50,242,0.4,100.0,20.0,40.0,1,11.528782554713345,11.528782554713345,7.5629833457388145,7.5629833457388145
ref50,243,0.4,100.0,20.0,inf,1,19.201598387338798,19.201598387338798,7.454556651904952,7.454556651904952
ref50,244,0.4,100.0,30.0,20.0,1,19.052417718918356,19.052417718918356,7.41278239261429,7.41278239261429
ref50,245,0.4,100.0,30.0,30.0,1,16.5233693085699,16.5233693085699,7.497320954254392,7.497320954254392
ref50,246,0.4,100.0,30.0,40.0,1,16.671410205724545,16.671410205724545,7.511556706665203,7.511556706665203
ref50,247,0.4,100.0,30.0,inf,1,11.661922585990276,11.661922585990276,7.409443871549485,7.409443871549485
ref50,248,0.4,100.0,40.0,20.0,1,13.997707162932706,13.997707162932706,7.442218907325241,7.442218907325241
ref50,249,0.4,100.0,40.0,30.0,1,11.682668036223308,11.682668036223308,7.436556605488634,7.436556605488634
ref50,250,0.4,100.0,40.0,40.0,1,14.098317114410772,14.098317114410772,7.497983024327738,7.497983024327738
ref50,251,0.4,100.0,40.0,inf,1,14.137637764119956,14.137637764119956,7.485767025609094,7.485767025609094
ref50,252,0.4,100.0,inf,20.0,1,21.742089945854442,21.742089945854442,7.361972220818586,7.361972220818586
ref50,253,0.4,100.0,inf,30.0,1,14.282043363775518,14.282043363775518,7.504818725491803,7.504818725491803
ref50,254,0.4,100.0,inf,40.0,1,14.000214957736373,14.000214957736373,7.516900263894443,7.516900263894443
ref50,255,0.4,100.0,inf,inf,1,16.15002646278829,16.15002646278829,7.508870489471548,7.508870489471548
ref50,256,0.4,500.0,20.0,20.0,1,37.07188927624756,37.07188927624756,0.7634837949904408,0.7634837949904408
ref50,257,0.4,500.0,20.0,30.0,1,31.706940628487974,31.706940628487974,0.9539596734190923,0.9539596734190923
ref50,258,0.4,500.0,20.0,40.0,1,1.1612897014618984,1.1612897014618984,0.9670271308838778,0.9670271308838778
ref50,259,0.4,500.0,20.0,inf,1,11.707194202777105,11.707194202777105,0.9497844370394546,0.9497844370394546
ref50,260,0.4,500.0,30.0,20.0,1,16.56241360059195,16.56241360059195,0.7846619517464773,0.7846619517464773
ref50,261,0.4,500.0,30.0,30.0,1,21.6026025763833,21.6026025763833,0.9669125366137677,0.9669125366137677
ref50,262,0.4,500.0,30.0,40.0,1,4.197476607635128,4.197476607635128,1.0574958631863978,1.0574958631863978
ref50,263,0.4,500.0,30.0,inf,1,3.6794195970627355,3.6794195970627355,0.9364627426497236,0.9364627426497236
ref50,264,0.4,500.0,40.0,20.0,1,51.840661667232744,51.840661667232744,1.040881417537878,1.040881417537878
ref50,265,0.4,500.0,40.0,30.0,1,8.62443487279986,8.62443487279986,0.8757225260190011,0.8757225260190011
ref50,266,0.4,500.0,40.0,40.0,1,3.8324896586091337,3.8324896586091337,0.9329686894143719,0.9329686894143719
ref50,267,0.4,500.0,40.0,inf,1,1.2849132818546631,1.2849132818546631,0.9534877232458256,0.9534877232458256
ref50,268,0.4,500.0,inf,20.0,1,16.653370955267242,16.653370955267242,0.8123239521430718,0.8123239521430718
ref50,269,0.4,500.0,inf,30.0,1,3.4083405268657967,3.4083405268657967,1.0107547536098422,1.0107547536098422
ref50,270,0.4,500.0,inf,40.0,1,1.2884884635144949,1.2884884635144949,0.958402573967885,0.958402573967885
ref50,271,0.4,500.0,inf,inf,1,1.0930953971557134,1.0930953971557134,0.9564741312536285,0.9564741312536285
ref50,272,0.4,1000.0,20.0,20.0,1,99.975,99.975,11.02489449019689,11.02489449019689
ref50,273,0.4,1000.0,20.0,30.0,1,63.64401149623616,63.64401149623616,12.412785432983878,12.412785432983878
ref50,274,0.4,1000.0,20.0,40.0,1,99.975,99.975,11.03342857364986,11.03342857364986
ref50,275,0.4,1000.0,20.0,inf,1,99.975,99.975,11.114968619612409,11.114968619612409
ref50,276,0.4,1000.0,30.0,20.0,1,99.975,99.975,11.193205618044136,11.193205618044136
ref50,277,0.4,1000.0,30.0,30.0,1,99.975,99.975,11.111165199953302,11.111165199953302
ref50,278,0.4,1000.0,30.0,40.0,1,99.975,99.975,11.098282902468803,11.098282902468803
ref50,279,0.4,1000.0,30.0,inf,1,99.975,99.975,11.078187587282935,11.078187587282935
ref50,280,0.4,1000.0,40.0,20.0,1,99.975,99.975,10.957948044421698,10.957948044421698
ref50,281,0.4,1000.0,40.0,30.0,1,99.975,99.975,10.999677644795499,10.999677644795499
ref50,282,0.4,1000.0,40.0,40.0,1,99.975,99.975,11.065506341335528,11.065506341335528
ref50,283,0.4,1000.0,40.0,inf,1,99.975,99.975,11.06996166600643,11.06996166600643
ref50,284,0.4,1000.0,inf,20.0,1,40.42164913332629,40.42164913332629,12.444020466743746,12.444020466743746
ref50,285,0.4,1000.0,inf,30.0,1,99.975,99.975,11.071916104475497,11.071916104475497
ref50,286,0.4,1000.0,inf,40.0,1,99.975,99.975,11.069571242039649,11.069571242039649
ref50,287,0.4,1000.0,inf,inf,1,55.75166935287157,55.75166935287157,12.080112346825604,12.080112346825604
ref50,288,0.4,2000.0,20.0,20.0,1,99.975,99.975,1.0887450023349856,1.0887450023349856
ref50,289,0.4,2000.0,20.0,30.0,1,57.014074506952085,57.014074506952085,0.8929316682107811,0.8929316682107811
