fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,alpha_hat_emanuel,Rx_hat_emanuel,loc_err_pct_emanuel,Rx_err_pct_emanuel,alpha_hat_kizilcay,Rx_hat_kizilcay,loc_err_pct_kizilcay,Rx_err_pct_kizilcay,delta_loc_err_pct,delta_Rx_err_pct
bus_07,0.5,2000.0,inf,inf,0.9999,2686.3826375281405,99.98,34.319131876407035,0.9999,10890.993774629618,99.98,444.5496887314809,0.0,410.23055685507387
bus_07,0.5,5000.0,20.0,30.0,0.9999,2240.7634355090468,99.98,55.18473128981907,0.9999,1697.5534482493174,99.98,66.04893103501365,0.0,10.864199745194583
bus_07,0.5,5000.0,20.0,40.0,0.9999,2239.6209036087657,99.98,55.207581927824684,0.9999,1705.457575051794,99.98,65.89084849896412,0.0,10.683266571139434
bus_07,0.5,5000.0,20.0,inf,0.9999,2245.4643576600756,99.98,55.09071284679848,0.9999,1702.242671131016,99.98,65.95514657737968,0.0,10.864433730581197
bus_07,0.5,5000.0,30.0,30.0,0.9999,2242.7124805362805,99.98,55.14575038927438,0.9999,1703.8988760552443,99.98,65.92202247889512,0.0,10.776272089620733
bus_07,0.5,5000.0,30.0,40.0,0.9999,2245.521162259236,99.98,55.08957675481528,0.9999,1707.1680624721919,99.98,65.85663875055616,0.0,10.767061995740875
bus_07,0.5,5000.0,30.0,inf,0.9999,2247.091225209729,99.98,55.058175495805415,0.9999,1711.8297364317714,99.98,65.76340527136458,0.0,10.705229775559161
bus_07,0.5,5000.0,40.0,30.0,0.9999,2251.4271844512728,99.98,54.97145631097455,0.9999,1713.619227588829,99.98,65.72761544822343,0.0,10.75615913724888
bus_07,0.5,5000.0,40.0,40.0,0.9999,2245.815818990306,99.98,55.08368362019388,0.9999,1710.3763396640413,99.98,65.79247320671918,0.0,10.708789586525299
bus_07,0.5,5000.0,40.0,inf,0.9999,2248.5548671541,99.98,55.02890265691799,0.9999,1707.1510747109683,99.98,65.85697850578063,0.0,10.828075848862639
bus_07,0.5,5000.0,inf,30.0,0.9999,2244.1931263214747,99.98,55.11613747357051,0.9999,1710.3290439819846,99.98,65.79341912036031,0.0,10.677281646789801
bus_07,0.5,5000.0,inf,40.0,0.9999,2247.166273977182,99.98,55.05667452045636,0.9999,1708.7525857071905,99.98,65.8249482858562,0.0,10.768273765399833
bus_07,0.5,5000.0,inf,inf,0.9999,6336.600735223516,99.98,26.732014704470313,0.9999,45280.79748752785,99.98,805.6159497505571,0.0,778.8839350460868
bus_13,0.5,100.0,20.0,30.0,0.21334318623042964,156.7610285754201,57.33136275391407,56.76102857542011,0.21370698385414968,92.60842909155033,57.25860322917007,7.3915709084496655,-0.07275952474400071,-49.36945766697045
bus_13,0.5,100.0,20.0,40.0,0.18380461198065975,156.5852037190759,63.23907760386804,56.585203719075906,0.19447019484915243,92.69016997966882,61.10596103016952,7.309830020331176,-2.1331165736985227,-49.27537369874473
bus_13,0.5,100.0,20.0,inf,0.20585809691915355,156.43388395785254,58.828380616169284,56.433883957852544,0.19465772669692497,92.68462162053999,61.06845466061501,7.3153783794600145,2.240074044445727,-49.11850557839253
bus_13,0.5,100.0,30.0,30.0,0.18328484720082042,156.59612742128488,63.343030559835924,56.596127421284876,0.19453844485155194,92.64530834219285,61.09231102968962,7.354691657807153,-2.2507195301463057,-49.241435763477725
bus_13,0.5,100.0,30.0,40.0,0.17461060187081887,156.55265582088398,65.07787962583622,56.552655820883984,0.19424224751733196,92.67677007336519,61.1515504965336,7.323229926634809,-3.9263291293026157,-49.229425894249175
bus_13,0.5,100.0,30.0,inf,0.17349532624617142,156.61002324775134,65.30093475076572,56.61002324775134,0.20344560315640908,92.6790961775212,59.31087936871818,7.320903822478797,-5.990055382047537,-49.289119425272546
bus_13,0.5,100.0,40.0,30.0,0.1844170801111097,156.57416780863966,63.11658397777806,56.57416780863966,0.20406657851919768,92.65414728336704,59.186684296160465,7.345852716632963,-3.9298996816175986,-49.228315092006696
bus_13,0.5,100.0,40.0,40.0,0.17405471402133327,156.5722947454959,65.18905719573334,56.572294745495896,0.2033228539066566,92.67067740287314,59.33542921866868,7.329322597126861,-5.8536279770646615,-49.242972148369034
bus_13,0.5,100.0,40.0,inf,0.1831981840388313,156.57126049956182,63.360363192233734,56.57126049956182,0.20339221561429185,92.67656939542442,59.321556877141624,7.323430604575577,-4.03880631509211,-49.24782989498624
bus_13,0.5,100.0,inf,30.0,0.19302073373352366,156.6655248733772,61.395853253295265,56.6655248733772,0.20438999933168378,92.70106059329183,59.12200013366324,7.298939406708172,-2.2738531196320224,-49.36658546666903
bus_13,0.5,100.0,inf,40.0,0.17488955368141687,156.56934614561075,65.02208926371662,56.56934614561075,0.20373859074993045,92.67034118945541,59.25228185001391,7.3296588105445855,-5.769807413702715,-49.239687335066165
bus_13,0.5,100.0,inf,inf,0.190462244754179,156.5733273661126,61.9075510491642,56.57332736611261,0.21200293801222928,92.67139634111734,57.59941239755415,7.328603658882656,-4.308138651610051,-49.24472370722995
