alpha,Rx,sigma_min,sigma_min_over_max,hermann_krener_rank,is_degenerate
0.086735,863.3107,1.290941e-06,2.771543e-02,2,0
0.086735,935.0611,1.088889e-06,2.684652e-02,2,0
0.086735,1012.7747,9.167905e-07,2.589127e-02,2,0
0.086735,1096.9472,7.703909e-07,2.485359e-02,2,0
0.086735,1188.1153,6.460437e-07,2.374023e-02,2,0
0.086735,1286.8604,5.406165e-07,2.256078e-02,2,0
0.086735,1393.8123,4.514136e-07,2.132739e-02,2,0
0.086735,1509.6530,3.761103e-07,2.005438e-02,2,0
0.086735,1635.1214,3.126983e-07,1.875754e-02,2,0
0.086735,1771.0175,2.594403e-07,1.745339e-02,2,0
0.086735,1918.2081,2.148322e-07,1.615833e-02,2,0
0.086735,2077.6318,1.775723e-07,1.488786e-02,2,0
0.086735,2250.3052,1.465351e-07,1.365589e-02,2,0
0.086735,2437.3297,1.207498e-07,1.247423e-02,2,0
0.086735,2639.8980,9.938112e-08,1.135230e-02,2,0
0.086735,2859.3018,8.171347e-08,1.029699e-02,2,0
0.086735,3096.9405,6.713623e-08,9.312742e-03,2,1
0.086735,3354.3295,5.513076e-08,8.401756e-03,2,1
0.086735,3633.1102,4.525871e-08,7.564279e-03,2,1
0.086735,3935.0607,3.715131e-08,6.798950e-03,2,1
0.086735,4262.1064,3.049977e-08,6.103158e-03,2,1
0.086735,4616.3332,2.504661e-08,5.473375e-03,2,1
0.086735,5000.0000,2.057802e-08,4.905462e-03,2,1
0.105102,100.0000,9.701304e-05,3.269731e-02,2,0
0.105102,108.3111,8.288406e-05,3.271629e-02,2,0
0.105102,117.3129,7.080834e-05,3.273464e-02,2,0
0.105102,127.0628,6.048861e-05,3.275193e-02,2,0
0.105102,137.6231,5.167029e-05,3.276764e-02,2,0
0.105102,149.0611,4.413547e-05,3.278111e-02,2,0
0.105102,161.4497,3.769766e-05,3.279156e-02,2,0
0.105102,174.8679,3.219733e-05,3.279804e-02,2,0
0.105102,189.4013,2.749807e-05,3.279941e-02,2,0
0.105102,205.1425,2.348321e-05,3.279432e-02,2,0
0.105102,222.1921,2.005305e-05,3.278115e-02,2,0
0.105102,240.6586,1.712237e-05,3.275802e-02,2,0
0.105102,260.6599,1.461833e-05,3.272268e-02,2,0
0.105102,282.3236,1.247874e-05,3.267254e-02,2,0
0.105102,305.7877,1.065043e-05,3.260459e-02,2,0
0.105102,331.2019,9.088026e-06,3.251536e-02,2,0
0.105102,358.7284,7.752755e-06,3.240092e-02,2,0
0.105102,388.5425,6.611516e-06,3.225681e-02,2,0
0.105102,420.8346,5.636047e-06,3.207806e-02,2,0
0.105102,455.8105,4.802221e-06,3.185920e-02,2,0
0.105102,493.6932,4.089442e-06,3.159432e-02,2,0
0.105102,534.7244,3.480131e-06,3.127711e-02,2,0
0.105102,579.1657,2.959287e-06,3.090106e-02,2,0
0.105102,627.3006,2.514107e-06,3.045958e-02,2,0
0.105102,679.4360,2.133665e-06,2.994636e-02,2,0
0.105102,735.9045,1.808639e-06,2.935559e-02,2,0
0.105102,797.0660,1.531069e-06,2.868244e-02,2,0
0.105102,863.3107,1.294163e-06,2.792343e-02,2,0
0.105102,935.0611,1.092117e-06,2.707692e-02,2,0
0.105102,1012.7747,9.199672e-07,2.614353e-02,2,0
0.105102,1096.9472,7.734691e-07,2.512644e-02,2,0
0.105102,1188.1153,6.489828e-07,2.403168e-02,2,0
0.105102,1286.8604,5.433839e-07,2.286811e-02,2,0
0.105102,1393.8123,4.539846e-07,2.164728e-02,2,0
0.105102,1509.6530,3.784681e-07,2.038299e-02,2,0
0.105102,1635.1214,3.148339e-07,1.909073e-02,2,0
0.105102,1771.0175,2.613516e-07,1.778692e-02,2,0
0.105102,1918.2081,2.165233e-07,1.648805e-02,2,0
0.105102,2077.6318,1.790524e-07,1.520992e-02,2,0
0.105102,2250.3052,1.478173e-07,1.396692e-02,2,0
0.105102,2437.3297,1.218498e-07,1.277142e-02,2,0
0.105102,2639.8980,1.003165e-07,1.163347e-02,2,0
0.105102,2859.3018,8.250235e-08,1.056061e-02,2,0
0.105102,3096.9405,6.779655e-08,9.557902e-03,2,1
0.105102,3354.3295,5.567971e-08,8.628082e-03,2,1
0.105102,3633.1102,4.571227e-08,7.771872e-03,2,1
0.105102,3935.0607,3.752400e-08,6.988288e-03,2,1
0.105102,4262.1064,3.080450e-08,6.275006e-03,2,1
0.105102,4616.3332,2.529469e-08,5.628703e-03,2,1
0.105102,5000.0000,2.077920e-08,5.045370e-03,2,1
0.123469,100.0000,9.673105e-05,3.269222e-02,2,0
0.123469,108.3111,8.266309e-05,3.271130e-02,2,0
0.123469,117.3129,7.063504e-05,3.272984e-02,2,0
0.123469,127.0628,6.035260e-05,3.274745e-02,2,0
0.123469,137.6231,5.156348e-05,3.276362e-02,2,0
0.123469,149.0611,4.405156e-05,3.277774e-02,2,0
0.123469,161.4497,3.763175e-05,3.278905e-02,2,0
0.123469,174.8679,3.214560e-05,3.279666e-02,2,0
0.123469,189.4013,2.745752e-05,3.279947e-02,2,0
0.123469,205.1425,2.345151e-05,3.279621e-02,2,0
0.123469,222.1921,2.002838e-05,3.278531e-02,2,0
0.123469,240.6586,1.710328e-05,3.276497e-02,2,0
0.123469,260.6599,1.460372e-05,3.273304e-02,2,0
0.123469,282.3236,1.246770e-05,3.268702e-02,2,0
0.123469,305.7877,1.064228e-05,3.262402e-02,2,0
0.123469,331.2019,9.082209e-06,3.254070e-02,2,0
0.123469,358.7284,7.748829e-06,3.243324e-02,2,0
0.123469,388.5425,6.609128e-06,3.229732e-02,2,0
0.123469,420.8346,5.634913e-06,3.212811e-02,2,0
0.123469,455.8105,4.802108e-06,3.192027e-02,2,0
0.123469,493.6932,4.090160e-06,3.166798e-02,2,0
0.123469,534.7244,3.481521e-06,3.136505e-02,2,0
0.123469,579.1657,2.961215e-06,3.100499e-02,2,0
0.123469,627.3006,2.516457e-06,3.058122e-02,2,0
0.123469,679.4360,2.136337e-06,3.008732e-02,2,0
0.123469,735.9045,1.811543e-06,2.951731e-02,2,0
0.123469,797.0660,1.534128e-06,2.886608e-02,2,0
0.123469,863.3107,1.297305e-06,2.812974e-02,2,0
0.123469,935.0611,1.095278e-06,2.730614e-02,2,0
0.123469,1012.7747,9.230924e-07,2.639526e-02,2,0
0.123469,1096.9472,7.765092e-07,2.539959e-02,2,0
0.123469,1188.1153,6.518964e-07,2.432440e-02,2,0
0.123469,1286.8604,5.461371e-07,2.317783e-02,2,0
0.123469,1393.8123,4.565512e-07,2.197075e-02,2,0
0.123469,1509.6530,3.808299e-07,2.071641e-02,2,0
0.123469,1635.1214,3.169800e-07,1.942994e-02,2,0
0.123469,1771.0175,2.632782e-07,1.812759e-02,2,0
0.123469,1918.2081,2.182330e-07,1.682591e-02,2,0
0.123469,2077.6318,1.805529e-07,1.554095e-02,2,0
0.123469,2250.3052,1.491205e-07,1.428753e-02,2,0
0.123469,2437.3297,1.229707e-07,1.307859e-02,2,0
0.123469,2639.8980,1.012718e-07,1.192481e-02,2,0
0.123469,2859.3018,8.330970e-08,1.083439e-02,2,0
0.123469,3096.9405,6.847362e-08,9.813025e-03,2,1
0.123469,3354.3295,5.624355e-08,8.864037e-03,2,1
0.123469,3633.1102,4.617886e-08,7.988644e-03,2,1
0.123469,3935.0607,3.790791e-08,7.186275e-03,2,1
0.123469,4262.1064,3.111879e-08,6.454920e-03,2,1
0.123469,4616.3332,2.555083e-08,5.791487e-03,2,1
0.123469,5000.0000,2.098711e-08,5.192119e-03,2,1
0.141837,100.0000,9.644396e-05,3.268701e-02,2,0
0.141837,108.3111,8.243823e-05,3.270616e-02,2,0
0.141837,117.3129,7.045876e-05,3.272488e-02,2,0
0.141837,127.0628,6.021428e-05,3.274277e-02,2,0
0.141837,137.6231,5.145488e-05,3.275937e-02,2,0
0.141837,149.0611,4.396624e-05,3.277410e-02,2,0
0.141837,161.4497,3.756472e-05,3.278623e-02,2,0
0.141837,174.8679,3.209296e-05,3.279491e-02,2,0
0.141837,189.4013,2.741623e-05,3.279911e-02,2,0
0.141837,205.1425,2.341920e-05,3.279759e-02,2,0
0.141837,222.1921,2.000318e-05,3.278888e-02,2,0
0.141837,240.6586,1.708375e-05,3.277124e-02,2,0
0.141837,260.6599,1.458871e-05,3.274262e-02,2,0
0.141837,282.3236,1.245633e-05,3.270061e-02,2,0
0.141837,305.7877,1.063383e-05,3.264243e-02,2,0
0.141837,331.2019,9.076113e-06,3.256486e-02,2,0
0.141837,358.7284,7.744648e-06,3.246422e-02,2,0
0.141837,388.5425,6.606506e-06,3.233632e-02,2,0
0.141837,420.8346,5.633562e-06,3.217647e-02,2,0
0.141837,455.8105,4.801795e-06,3.197947e-02,2,0
0.141837,493.6932,4.090693e-06,3.173961e-02,2,0
0.141837,534.7244,3.482741e-06,3.145080e-02,2,0
0.141837,579.1657,2.962987e-06,3.110660e-02,2,0
0.141837,627.3006,2.518665e-06,3.070045e-02,2,0
0.141837,679.4360,2.138880e-06,3.022584e-02,2,0
0.141837,735.9045,1.814334e-06,2.967667e-02,2,0
