trial,profile,fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,alpha_hat_emanuel,Rx_hat_emanuel,loc_err_emanuel,Rx_err_emanuel,alpha_hat_torres,Rx_hat_torres,loc_err_torres,Rx_err_torres,delta_loc_err_pct,delta_Rx_err_pct
0,tree,bus_01,0.5,500.0,20.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,898.3945935185692,99.98,79.67891870371383,0.0,48.65320733180364
0,sand,bus_01,0.5,500.0,20.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,868.511373751352,99.98,73.70227475027042,0.0,42.67656337836023
0,concrete,bus_01,0.5,500.0,20.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,666.2724614032686,99.98,33.25449228065372,0.0,2.228780908743534
0,tree,bus_01,0.5,500.0,20.0,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,884.4314550437529,99.98,76.88629100875058,0.0,45.860579636840384
0,sand,bus_01,0.5,500.0,20.0,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,891.2104997524314,99.98,78.24209995048626,0.0,47.21638857857607
0,concrete,bus_01,0.5,500.0,20.0,40.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,663.5121511521079,99.98,32.70243023042158,0.0,1.6767188585113892
0,tree,bus_01,0.5,500.0,20.0,inf,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,894.6686654857858,99.98,78.93373309715716,0.0,47.90802172524697
0,sand,bus_01,0.5,500.0,20.0,inf,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,868.511373751352,99.98,73.70227475027042,0.0,42.67656337836023
0,concrete,bus_01,0.5,500.0,20.0,inf,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,664.0193038865153,99.98,32.803860777303065,0.0,1.7781494053928775
0,tree,bus_01,0.5,500.0,30.0,30.0,0.9999,655.1285568595509,99.98,31.025711371910187,0.9999,885.5498662031864,99.98,77.10997324063727,0.0,46.08426186872708
