cell,alpha,Rx_ohm,SNR_V_dB,SNR_I_dB,rms_pscad_emtp_pct,rms_pscad_ref50_pct,rms_emtp_ref50_pct,max_pct
122,0.200,1000.0,40.0,40.0,1.495070,1.452954,1.450689,1.495070
123,0.200,1000.0,40.0,inf,1.561022,1.503989,1.587914,1.587914
124,0.200,1000.0,inf,20.0,14.708907,13.789729,13.242691,14.708907
125,0.200,1000.0,inf,30.0,4.607245,4.646395,4.509226,4.646395
126,0.200,1000.0,inf,40.0,1.521877,1.467538,1.483786,1.521877
127,0.200,1000.0,inf,inf,0.000006,0.000006,0.000000,0.000006
128,0.200,2000.0,20.0,20.0,14.371176,15.050324,13.961300,15.050324
129,0.200,2000.0,20.0,30.0,14.015084,14.357316,13.740068,14.357316
130,0.200,2000.0,20.0,40.0,13.949690,14.139386,14.917575,14.917575
131,0.200,2000.0,20.0,inf,14.647244,14.034254,14.028904,14.647244
132,0.200,2000.0,30.0,20.0,14.332829,13.921035,13.685268,14.332829
133,0.200,2000.0,30.0,30.0,4.402331,4.700209,4.656493,4.700209
134,0.200,2000.0,30.0,40.0,4.341445,4.322552,4.071965,4.341445
135,0.200,2000.0,30.0,inf,4.511375,4.940362,4.511929,4.940362
136,0.200,2000.0,40.0,20.0,14.104359,13.381477,14.499347,14.499347
137,0.200,2000.0,40.0,30.0,4.622861,4.746542,4.539235,4.746542
138,0.200,2000.0,40.0,40.0,1.456945,1.523603,1.471167,1.523603
139,0.200,2000.0,40.0,inf,1.393736,1.396584,1.394886,1.396584
140,0.200,2000.0,inf,20.0,14.720901,15.121061,14.187914,15.121061
141,0.200,2000.0,inf,30.0,4.350345,4.196202,4.282962,4.350345
142,0.200,2000.0,inf,40.0,1.403336,1.393287,1.431825,1.431825
143,0.200,2000.0,inf,inf,0.000011,0.000011,0.000000,0.000011
144,0.200,5000.0,20.0,20.0,13.619077,14.068729,13.885153,14.068729
145,0.200,5000.0,20.0,30.0,14.325067,12.582889,12.873970,14.325067
146,0.200,5000.0,20.0,40.0,13.407268,13.288013,13.191214,13.407268
147,0.200,5000.0,20.0,inf,13.705180,14.431907,15.322062,15.322062
148,0.200,5000.0,30.0,20.0,15.215716,14.535591,13.083712,15.215716
149,0.200,5000.0,30.0,30.0,4.569016,4.660500,4.780838,4.780838
150,0.200,5000.0,30.0,40.0,4.205198,4.609757,4.554612,4.609757
151,0.200,5000.0,30.0,inf,4.600063,4.434671,4.785337,4.785337
152,0.200,5000.0,40.0,20.0,13.525641,13.398113,14.140685,14.140685
153,0.200,5000.0,40.0,30.0,4.355168,4.272969,4.622616,4.622616
154,0.200,5000.0,40.0,40.0,1.518560,1.360729,1.422891,1.518560
155,0.200,5000.0,40.0,inf,1.473632,1.548288,1.469689,1.548288
156,0.200,5000.0,inf,20.0,14.556816,14.137479,14.076876,14.556816
157,0.200,5000.0,inf,30.0,4.613347,4.351148,4.718329,4.718329
158,0.200,5000.0,inf,40.0,1.504421,1.408054,1.456875,1.504421
159,0.200,5000.0,inf,inf,0.000017,0.000017,0.000000,0.000017
160,0.300,100.0,20.0,20.0,14.481261,15.128652,14.715198,15.128652
161,0.300,100.0,20.0,30.0,14.457235,14.419056,13.342796,14.457235
162,0.300,100.0,20.0,40.0,13.558157,14.685730,13.758873,14.685730
163,0.300,100.0,20.0,inf,15.188235,13.487573,13.436122,15.188235
164,0.300,100.0,30.0,20.0,12.997989,14.852507,14.083881,14.852507
165,0.300,100.0,30.0,30.0,4.745246,4.801273,4.758114,4.801273
166,0.300,100.0,30.0,40.0,3.743240,4.344686,4.186186,4.344686
167,0.300,100.0,30.0,inf,4.685911,4.747828,4.663337,4.747828
168,0.300,100.0,40.0,20.0,13.622057,13.494357,14.289891,14.289891
169,0.300,100.0,40.0,30.0,5.185777,4.706341,4.559402,5.185777
170,0.300,100.0,40.0,40.0,1.457480,1.423263,1.432344,1.457480
171,0.300,100.0,40.0,inf,1.366466,1.433604,1.592540,1.592540
172,0.300,100.0,inf,20.0,14.476654,15.329448,15.100378,15.329448
173,0.300,100.0,inf,30.0,4.236765,4.379987,4.354272,4.379987
174,0.300,100.0,inf,40.0,1.473520,1.514247,1.520771,1.520771
175,0.300,100.0,inf,inf,0.000001,0.000001,0.000000,0.000001
176,0.300,500.0,20.0,20.0,14.354768,14.603653,14.282620,14.603653
177,0.300,500.0,20.0,30.0,13.515275,14.445479,14.103548,14.445479
178,0.300,500.0,20.0,40.0,14.195909,14.415690,15.048924,15.048924
179,0.300,500.0,20.0,inf,14.139739,13.956024,13.312342,14.139739
180,0.300,500.0,30.0,20.0,13.186713,12.566613,13.369900,13.369900
181,0.300,500.0,30.0,30.0,4.702206,4.584953,4.506586,4.702206
182,0.300,500.0,30.0,40.0,4.686338,4.921044,5.022634,5.022634
183,0.300,500.0,30.0,inf,4.610343,3.920576,4.580093,4.610343
184,0.300,500.0,40.0,20.0,14.499360,12.787721,14.120007,14.499360
185,0.300,500.0,40.0,30.0,4.780316,4.729712,4.433443,4.780316
186,0.300,500.0,40.0,40.0,1.539901,1.537004,1.375843,1.539901
187,0.300,500.0,40.0,inf,1.336591,1.400255,1.371491,1.400255
188,0.300,500.0,inf,20.0,13.257007,12.942008,14.212413,14.212413
189,0.300,500.0,inf,30.0,4.520071,4.686632,4.946391,4.946391
190,0.300,500.0,inf,40.0,1.376275,1.443230,1.468740,1.468740
191,0.300,500.0,inf,inf,0.000003,0.000003,0.000000,0.000003
192,0.300,1000.0,20.0,20.0,15.380552,14.808064,15.405359,15.405359
193,0.300,1000.0,20.0,30.0,14.093201,15.295833,14.833289,15.295833
194,0.300,1000.0,20.0,40.0,14.207996,13.681720,13.779325,14.207996
195,0.300,1000.0,20.0,inf,15.295004,13.199613,13.633979,15.295004
196,0.300,1000.0,30.0,20.0,14.393941,14.021070,14.864089,14.864089
197,0.300,1000.0,30.0,30.0,4.607522,4.352898,4.918113,4.918113
198,0.300,1000.0,30.0,40.0,4.432795,4.192263,4.456533,4.456533
199,0.300,1000.0,30.0,inf,4.681288,4.202840,4.551243,4.681288
200,0.300,1000.0,40.0,20.0,13.041974,14.636434,14.263486,14.636434
201,0.300,1000.0,40.0,30.0,4.633560,4.875580,4.393986,4.875580
202,0.300,1000.0,40.0,40.0,1.448263,1.453581,1.498965,1.498965
203,0.300,1000.0,40.0,inf,1.405295,1.447795,1.402631,1.447795
204,0.300,1000.0,inf,20.0,13.874244,13.108575,13.557730,13.874244
205,0.300,1000.0,inf,30.0,4.609995,4.363694,4.582473,4.609995
206,0.300,1000.0,inf,40.0,1.505123,1.539481,1.401595,1.539481
207,0.300,1000.0,inf,inf,0.000005,0.000005,0.000000,0.000005
208,0.300,2000.0,20.0,20.0,14.583951,15.227166,13.820174,15.227166
209,0.300,2000.0,20.0,30.0,14.428708,14.228163,14.198879,14.428708
210,0.300,2000.0,20.0,40.0,15.087306,14.787273,14.149047,15.087306
211,0.300,2000.0,20.0,inf,13.304614,14.751912,14.709701,14.751912
212,0.300,2000.0,30.0,20.0,13.087663,12.997424,13.357558,13.357558
213,0.300,2000.0,30.0,30.0,4.905956,4.926251,4.546638,4.926251
214,0.300,2000.0,30.0,40.0,4.463247,4.252937,4.333511,4.463247
215,0.300,2000.0,30.0,inf,4.419376,4.447749,4.667008,4.667008
216,0.300,2000.0,40.0,20.0,13.821430,12.820468,14.607814,14.607814
217,0.300,2000.0,40.0,30.0,4.312965,4.655389,4.326085,4.655389
218,0.300,2000.0,40.0,40.0,1.417150,1.295939,1.358615,1.417150
219,0.300,2000.0,40.0,inf,1.434823,1.456076,1.254163,1.456076
220,0.300,2000.0,inf,20.0,13.336219,13.266183,13.893335,13.893335
221,0.300,2000.0,inf,30.0,4.312319,4.384552,4.181249,4.384552
222,0.300,2000.0,inf,40.0,1.489260,1.517070,1.577032,1.577032
223,0.300,2000.0,inf,inf,0.000008,0.000008,0.000000,0.000008
224,0.300,5000.0,20.0,20.0,14.612094,14.131894,12.908758,14.612094
225,0.300,5000.0,20.0,30.0,15.249237,14.060582,13.697099,15.249237
226,0.300,5000.0,20.0,40.0,13.633834,13.799130,13.509642,13.799130
227,0.300,5000.0,20.0,inf,15.386461,15.059230,14.816851,15.386461
228,0.300,5000.0,30.0,20.0,13.659379,13.894456,14.396958,14.396958
229,0.300,5000.0,30.0,30.0,4.604131,4.432512,4.273539,4.604131
230,0.300,5000.0,30.0,40.0,4.467800,4.263575,4.407417,4.467800
231,0.300,5000.0,30.0,inf,4.677787,4.637327,4.566265,4.677787
232,0.300,5000.0,40.0,20.0,14.394798,13.369592,14.173191,14.394798
233,0.300,5000.0,40.0,30.0,4.285915,4.478542,4.383837,4.478542
234,0.300,5000.0,40.0,40.0,1.411035,1.428989,1.529708,1.529708
235,0.300,5000.0,40.0,inf,1.465187,1.306399,1.439639,1.465187
236,0.300,5000.0,inf,20.0,14.730133,14.259035,14.678373,14.730133
237,0.300,5000.0,inf,30.0,4.224450,4.505135,4.471748,4.505135
238,0.300,5000.0,inf,40.0,1.392284,1.407208,1.355035,1.407208
239,0.300,5000.0,inf,inf,0.000012,0.000012,0.000000,0.000012
240,0.400,100.0,20.0,20.0,14.625423,14.784011,14.598794,14.784011
241,0.400,100.0,20.0,30.0,13.170376,13.557941,13.034200,13.557941
242,0.400,100.0,20.0,40.0,14.408390,13.958319,13.973823,14.408390
243,0.400,100.0,20.0,inf,13.451195,14.604824,14.204100,14.604824
244,0.400,100.0,30.0,20.0,13.930890,13.572479,13.667658,13.930890
245,0.400,100.0,30.0,30.0,4.596207,4.344485,4.585033,4.596207
246,0.400,100.0,30.0,40.0,4.524620,4.568837,4.357831,4.568837
247,0.400,100.0,30.0,inf,4.236446,4.506057,4.402232,4.506057
248,0.400,100.0,40.0,20.0,14.612414,13.357895,12.658435,14.612414
249,0.400,100.0,40.0,30.0,4.435010,4.599459,4.306962,4.599459
250,0.400,100.0,40.0,40.0,1.415875,1.437251,1.452835,1.452835
251,0.400,100.0,40.0,inf,1.528045,1.410243,1.364439,1.528045
252,0.400,100.0,inf,20.0,14.686643,15.240635,16.011426,16.011426
253,0.400,100.0,inf,30.0,4.501624,4.398745,4.848226,4.848226
254,0.400,100.0,inf,40.0,1.357990,1.359973,1.401726,1.401726
255,0.400,100.0,inf,inf,0.000002,0.000002,0.000000,0.000002
256,0.400,500.0,20.0,20.0,14.530797,13.692358,14.204596,14.530797
257,0.400,500.0,20.0,30.0,14.395009,13.315420,15.257275,15.257275
258,0.400,500.0,20.0,40.0,14.421304,14.218835,14.580235,14.580235
259,0.400,500.0,20.0,inf,13.261171,13.046736,13.816194,13.816194
260,0.400,500.0,30.0,20.0,14.680809,14.087440,13.908613,14.680809
261,0.400,500.0,30.0,30.0,4.803891,4.496639,4.873497,4.873497
262,0.400,500.0,30.0,40.0,4.631236,4.803288,4.440279,4.803288
263,0.400,500.0,30.0,inf,4.527153,4.859841,4.583717,4.859841
264,0.400,500.0,40.0,20.0,13.900157,13.532156,13.689374,13.900157
265,0.400,500.0,40.0,30.0,4.708286,4.406374,4.205092,4.708286
266,0.400,500.0,40.0,40.0,1.413872,1.458211,1.545491,1.545491
267,0.400,500.0,40.0,inf,1.460795,1.546015,1.474607,1.546015
268,0.400,500.0,inf,20.0,14.457385,14.297267,15.803797,15.803797
269,0.400,500.0,inf,30.0,4.526655,4.494849,4.583479,4.583479
270,0.400,500.0,inf,40.0,1.459123,1.402676,1.339666,1.459123
271,0.400,500.0,inf,inf,0.000002,0.000002,0.000000,0.000002
272,0.400,1000.0,20.0,20.0,14.209853,14.733910,15.447591,15.447591
273,0.400,1000.0,20.0,30.0,13.862836,13.933161,13.888470,13.933161
274,0.400,1000.0,20.0,40.0,14.384964,12.611724,14.922363,14.922363
275,0.400,1000.0,20.0,inf,14.636709,14.807097,13.727420,14.807097
276,0.400,1000.0,30.0,20.0,15.102975,14.367055,13.705972,15.102975
277,0.400,1000.0,30.0,30.0,4.613002,4.561060,4.548542,4.613002
278,0.400,1000.0,30.0,40.0,4.181552,3.969777,4.115195,4.181552
279,0.400,1000.0,30.0,inf,4.345881,4.285354,4.147731,4.345881
280,0.400,1000.0,40.0,20.0,13.646730,14.601217,14.506232,14.601217
281,0.400,1000.0,40.0,30.0,4.161124,4.300485,4.133317,4.300485
282,0.400,1000.0,40.0,40.0,1.432890,1.460055,1.484918,1.484918
283,0.400,1000.0,40.0,inf,1.397543,1.496094,1.345652,1.496094
284,0.400,1000.0,inf,20.0,14.693456,14.008158,14.184860,14.693456
285,0.400,1000.0,inf,30.0,4.414492,4.334005,4.163518,4.414492
286,0.400,1000.0,inf,40.0,1.401356,1.401246,1.387725,1.401356
287,0.400,1000.0,inf,inf,0.000004,0.000004,0.000000,0.000004
288,0.400,2000.0,20.0,20.0,14.621496,14.939368,16.447557,16.447557
289,0.400,2000.0,20.0,30.0,13.618378,13.565422,12.669857,13.618378
290,0.400,2000.0,20.0,40.0,13.323981,14.446609,13.561444,14.446609
291,0.400,2000.0,20.0,inf,13.908356,13.944972,14.430690,14.430690
292,0.400,2000.0,30.0,20.0,14.393757,13.104658,14.156119,14.393757
293,0.400,2000.0,30.0,30.0,4.944914,4.796437,4.803704,4.944914
294,0.400,2000.0,30.0,40.0,4.399000,4.452183,4.332540,4.452183
295,0.400,2000.0,30.0,inf,4.289537,4.174996,4.237352,4.289537
296,0.400,2000.0,40.0,20.0,14.847408,13.700898,13.520208,14.847408
297,0.400,2000.0,40.0,30.0,4.559841,4.470845,4.733098,4.733098
298,0.400,2000.0,40.0,40.0,1.460143,1.507707,1.388461,1.507707
299,0.400,2000.0,40.0,inf,1.399649,1.381238,1.459131,1.459131
300,0.400,2000.0,inf,20.0,13.574576,14.590309,13.799782,14.590309
301,0.400,2000.0,inf,30.0,4.596048,4.565938,4.730468,4.730468
302,0.400,2000.0,inf,40.0,1.324844,1.379971,1.349974,1.379971
303,0.400,2000.0,inf,inf,0.000006,0.000006,0.000000,0.000006
304,0.400,5000.0,20.0,20.0,14.340139,14.658966,14.158776,14.658966
305,0.400,5000.0,20.0,30.0,14.786893,13.222442,13.690741,14.786893
306,0.400,5000.0,20.0,40.0,15.034019,13.118024,14.418793,15.034019
307,0.400,5000.0,20.0,inf,13.302919,13.316131,14.787044,14.787044
308,0.400,5000.0,30.0,20.0,13.633510,13.292309,13.890154,13.890154
309,0.400,5000.0,30.0,30.0,4.363241,4.422100,4.516610,4.516610
310,0.400,5000.0,30.0,40.0,4.702834,4.317990,4.073395,4.702834
311,0.400,5000.0,30.0,inf,4.842233,4.497677,4.068172,4.842233
312,0.400,5000.0,40.0,20.0,15.276178,13.560144,15.036267,15.276178
313,0.400,5000.0,40.0,30.0,4.306170,3.941675,4.387415,4.387415
314,0.400,5000.0,40.0,40.0,1.461335,1.497529,1.437330,1.497529
315,0.400,5000.0,40.0,inf,1.439730,1.416316,1.456196,1.456196
316,0.400,5000.0,inf,20.0,15.157230,14.155880,15.352379,15.352379
317,0.400,5000.0,inf,30.0,4.808887,4.703847,4.658487,4.808887
318,0.400,5000.0,inf,40.0,1.375733,1.494169,1.353553,1.494169
319,0.400,5000.0,inf,inf,0.000009,0.000009,0.000000,0.000009
320,0.500,100.0,20.0,20.0,14.373524,14.626349,14.294459,14.626349
321,0.500,100.0,20.0,30.0,14.324614,14.267597,13.598605,14.324614
322,0.500,100.0,20.0,40.0,15.953801,14.797879,14.806140,15.953801
323,0.500,100.0,20.0,inf,12.974299,13.911706,15.269913,15.269913
324,0.500,100.0,30.0,20.0,13.686766,13.824592,14.707107,14.707107
325,0.500,100.0,30.0,30.0,4.720280,4.656321,4.644667,4.720280
326,0.500,100.0,30.0,40.0,4.443346,4.000927,4.284956,4.443346
327,0.500,100.0,30.0,inf,4.587592,4.342240,4.544650,4.587592
328,0.500,100.0,40.0,20.0,14.882710,14.579615,15.914148,15.914148
329,0.500,100.0,40.0,30.0,4.814186,3.952627,4.321484,4.814186
330,0.500,100.0,40.0,40.0,1.469852,1.470531,1.423498,1.470531
331,0.500,100.0,40.0,inf,1.495324,1.378896,1.374165,1.495324
332,0.500,100.0,inf,20.0,13.957803,13.681575,14.606074,14.606074
333,0.500,100.0,inf,30.0,4.128448,4.066831,4.519150,4.519150
334,0.500,100.0,inf,40.0,1.407807,1.427275,1.499934,1.499934
335,0.500,100.0,inf,inf,0.000003,0.000003,0.000000,0.000003
336,0.500,500.0,20.0,20.0,14.468451,14.885769,14.512054,14.885769
337,0.500,500.0,20.0,30.0,13.621544,13.930484,14.554229,14.554229
338,0.500,500.0,20.0,40.0,14.541318,14.148277,14.258361,14.541318
339,0.500,500.0,20.0,inf,14.072105,14.245519,13.973352,14.245519
340,0.500,500.0,30.0,20.0,14.100250,15.086902,14.587812,15.086902
341,0.500,500.0,30.0,30.0,4.562961,4.546114,4.457517,4.562961
342,0.500,500.0,30.0,40.0,4.228708,4.391004,4.416090,4.416090
343,0.500,500.0,30.0,inf,4.413154,4.309075,4.533867,4.533867
344,0.500,500.0,40.0,20.0,14.710666,15.101364,13.801206,15.101364
345,0.500,500.0,40.0,30.0,4.380707,4.366665,4.384265,4.384265
346,0.500,500.0,40.0,40.0,1.415254,1.378269,1.459151,1.459151
347,0.500,500.0,40.0,inf,1.455405,1.420520,1.367030,1.455405
348,0.500,500.0,inf,20.0,15.570443,14.226806,14.845681,15.570443
349,0.500,500.0,inf,30.0,4.208252,4.455884,4.402826,4.455884
350,0.500,500.0,inf,40.0,1.443025,1.338381,1.478366,1.478366
351,0.500,500.0,inf,inf,0.000002,0.000002,0.000000,0.000002
352,0.500,1000.0,20.0,20.0,14.418787,14.311070,14.164467,14.418787
353,0.500,1000.0,20.0,30.0,14.926878,13.512716,14.214683,14.926878
354,0.500,1000.0,20.0,40.0,14.627406,13.082459,14.003318,14.627406
355,0.500,1000.0,20.0,inf,13.156409,15.056801,14.457224,15.056801
356,0.500,1000.0,30.0,20.0,14.332150,13.844315,14.249417,14.332150
357,0.500,1000.0,30.0,30.0,4.596716,4.483868,4.406522,4.596716
358,0.500,1000.0,30.0,40.0,4.305372,4.539665,4.751895,4.751895
359,0.500,1000.0,30.0,inf,4.398099,4.332215,4.453015,4.453015
360,0.500,1000.0,40.0,20.0,14.852050,14.324637,15.326705,15.326705
