alpha,Rx,orc_satisfied
0.233673,493.6932,1
0.233673,534.7244,1
0.233673,579.1657,1
0.233673,627.3006,1
0.233673,679.4360,1
0.233673,735.9045,1
0.233673,797.0660,1
0.233673,863.3107,1
0.233673,935.0611,1
0.233673,1012.7747,1
0.233673,1096.9472,1
0.233673,1188.1153,1
0.233673,1286.8604,1
0.233673,1393.8123,1
0.233673,1509.6530,1
0.233673,1635.1214,1
0.233673,1771.0175,1
0.233673,1918.2081,1
0.233673,2077.6318,1
0.233673,2250.3052,1
0.233673,2437.3297,1
0.233673,2639.8980,1
0.233673,2859.3018,1
0.233673,3096.9405,1
0.233673,3354.3295,1
0.233673,3633.1102,1
0.233673,3935.0607,1
0.233673,4262.1064,1
0.233673,4616.3332,1
0.233673,5000.0000,1
0.252041,100.0000,1
0.252041,108.3111,1
0.252041,117.3129,1
0.252041,127.0628,1
0.252041,137.6231,1
0.252041,149.0611,1
0.252041,161.4497,1
0.252041,174.8679,1
0.252041,189.4013,1
0.252041,205.1425,1
0.252041,222.1921,1
0.252041,240.6586,1
0.252041,260.6599,1
0.252041,282.3236,1
0.252041,305.7877,1
0.252041,331.2019,1
0.252041,358.7284,1
0.252041,388.5425,1
0.252041,420.8346,1
0.252041,455.8105,1
0.252041,493.6932,1
0.252041,534.7244,1
0.252041,579.1657,1
0.252041,627.3006,1
0.252041,679.4360,1
0.252041,735.9045,1
0.252041,797.0660,1
0.252041,863.3107,1
0.252041,935.0611,1
0.252041,1012.7747,1
0.252041,1096.9472,1
0.252041,1188.1153,1
0.252041,1286.8604,1
0.252041,1393.8123,1
0.252041,1509.6530,1
0.252041,1635.1214,1
0.252041,1771.0175,1
0.252041,1918.2081,1
0.252041,2077.6318,1
0.252041,2250.3052,1
0.252041,2437.3297,1
0.252041,2639.8980,1
0.252041,2859.3018,1
0.252041,3096.9405,1
0.252041,3354.3295,1
0.252041,3633.1102,1
0.252041,3935.0607,1
0.252041,4262.1064,1
0.252041,4616.3332,1
0.252041,5000.0000,1
0.270408,100.0000,1
0.270408,108.3111,1
0.270408,117.3129,1
0.270408,127.0628,1
0.270408,137.6231,1
0.270408,149.0611,1
0.270408,161.4497,1
0.270408,174.8679,1
0.270408,189.4013,1
0.270408,205.1425,1
0.270408,222.1921,1
0.270408,240.6586,1
0.270408,260.6599,1
0.270408,282.3236,1
0.270408,305.7877,1
0.270408,331.2019,1
0.270408,358.7284,1
0.270408,388.5425,1
0.270408,420.8346,1
0.270408,455.8105,1
0.270408,493.6932,1
0.270408,534.7244,1
0.270408,579.1657,1
0.270408,627.3006,1
0.270408,679.4360,1
0.270408,735.9045,1
0.270408,797.0660,1
0.270408,863.3107,1
0.270408,935.0611,1
0.270408,1012.7747,1
0.270408,1096.9472,1
0.270408,1188.1153,1
0.270408,1286.8604,1
0.270408,1393.8123,1
0.270408,1509.6530,1
0.270408,1635.1214,1
0.270408,1771.0175,1
0.270408,1918.2081,1
0.270408,2077.6318,1
0.270408,2250.3052,1
0.270408,2437.3297,1
0.270408,2639.8980,1
0.270408,2859.3018,1
0.270408,3096.9405,1
0.270408,3354.3295,1
0.270408,3633.1102,1
0.270408,3935.0607,1
0.270408,4262.1064,1
0.270408,4616.3332,1
0.270408,5000.0000,1
0.288776,100.0000,1
0.288776,108.3111,1
0.288776,117.3129,1
0.288776,127.0628,1
0.288776,137.6231,1
0.288776,149.0611,1
0.288776,161.4497,1
0.288776,174.8679,1
0.288776,189.4013,1
0.288776,205.1425,1
0.288776,222.1921,1
0.288776,240.6586,1
0.288776,260.6599,1
0.288776,282.3236,1
0.288776,305.7877,1
0.288776,331.2019,1
0.288776,358.7284,1
0.288776,388.5425,1
0.288776,420.8346,1
0.288776,455.8105,1
0.288776,493.6932,1
0.288776,534.7244,1
0.288776,579.1657,1
0.288776,627.3006,1
0.288776,679.4360,1
0.288776,735.9045,1
0.288776,797.0660,1
0.288776,863.3107,1
0.288776,935.0611,1
0.288776,1012.7747,1
0.288776,1096.9472,1
0.288776,1188.1153,1
0.288776,1286.8604,1
0.288776,1393.8123,1
0.288776,1509.6530,1
0.288776,1635.1214,1
0.288776,1771.0175,1
0.288776,1918.2081,1
0.288776,2077.6318,1
0.288776,2250.3052,1
0.288776,2437.3297,1
0.288776,2639.8980,1
0.288776,2859.3018,1
0.288776,3096.9405,1
0.288776,3354.3295,1
0.288776,3633.1102,1
0.288776,3935.0607,1
0.288776,4262.1064,1
0.288776,4616.3332,1
0.288776,5000.0000,1
0.307143,100.0000,1
0.307143,108.3111,1
0.307143,117.3129,1
0.307143,127.0628,1
0.307143,137.6231,1
0.307143,149.0611,1
0.307143,161.4497,1
0.307143,174.8679,1
0.307143,189.4013,1
0.307143,205.1425,1
0.307143,222.1921,1
0.307143,240.6586,1
0.307143,260.6599,1
0.307143,282.3236,1
0.307143,305.7877,1
0.307143,331.2019,1
0.307143,358.7284,1
0.307143,388.5425,1
0.307143,420.8346,1
0.307143,455.8105,1
0.307143,493.6932,1
0.307143,534.7244,1
0.307143,579.1657,1
0.307143,627.3006,1
0.307143,679.4360,1
0.307143,735.9045,1
0.307143,797.0660,1
0.307143,863.3107,1
0.307143,935.0611,1
0.307143,1012.7747,1
0.307143,1096.9472,1
0.307143,1188.1153,1
0.307143,1286.8604,1
0.307143,1393.8123,1
0.307143,1509.6530,1
0.307143,1635.1214,1
0.307143,1771.0175,1
0.307143,1918.2081,1
0.307143,2077.6318,1
0.307143,2250.3052,1
0.307143,2437.3297,1
0.307143,2639.8980,1
0.307143,2859.3018,1
0.307143,3096.9405,1
0.307143,3354.3295,1
0.307143,3633.1102,1
0.307143,3935.0607,1
0.307143,4262.1064,1
0.307143,4616.3332,1
0.307143,5000.0000,1
0.325510,100.0000,1
0.325510,108.3111,1
0.325510,117.3129,1
0.325510,127.0628,1
0.325510,137.6231,1
0.325510,149.0611,1
0.325510,161.4497,1
0.325510,174.8679,1
0.325510,189.4013,1
0.325510,205.1425,1
0.325510,222.1921,1
0.325510,240.6586,1
0.325510,260.6599,1
0.325510,282.3236,1
0.325510,305.7877,1
0.325510,331.2019,1
0.325510,358.7284,1
0.325510,388.5425,1
0.325510,420.8346,1
0.325510,455.8105,1
0.325510,493.6932,1
0.325510,534.7244,1
0.325510,579.1657,1
0.325510,627.3006,1
0.325510,679.4360,1
0.325510,735.9045,1
0.325510,797.0660,1
0.325510,863.3107,1
0.325510,935.0611,1
0.325510,1012.7747,1
0.325510,1096.9472,1
0.325510,1188.1153,1
0.325510,1286.8604,1
0.325510,1393.8123,1
0.325510,1509.6530,1
0.325510,1635.1214,1
0.325510,1771.0175,1
0.325510,1918.2081,1
0.325510,2077.6318,1
0.325510,2250.3052,1
0.325510,2437.3297,1
0.325510,2639.8980,1
0.325510,2859.3018,1
0.325510,3096.9405,1
0.325510,3354.3295,1
0.325510,3633.1102,1
0.325510,3935.0607,1
0.325510,4262.1064,1
0.325510,4616.3332,1
