dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,loc_err_self_pct,delta_loc_pp,Rx_err_pct,Rx_err_self_pct,delta_Rx_pp
pscad,187,0.300,500.0,40.0,inf,4.527863,0.809781,3.718081,0.229656,0.085979,0.143676
pscad,188,0.300,500.0,inf,20.0,20.155152,46.756897,-26.601745,1.164830,0.712969,0.451861
pscad,189,0.300,500.0,inf,30.0,5.274144,7.472588,-2.198444,0.030652,0.078120,-0.047468
pscad,190,0.300,500.0,inf,40.0,10.489915,0.285605,10.204310,0.134282,0.067782,0.066499
pscad,191,0.300,500.0,inf,inf,1.906985,0.000479,1.906506,0.114837,0.000004,0.114833
pscad,192,0.300,1000.0,20.0,20.0,66.313198,41.649232,24.663966,0.376007,2.554110,-2.178103
pscad,193,0.300,1000.0,20.0,30.0,8.333369,109.904054,-101.570685,1.124294,2.025431,-0.901137
pscad,194,0.300,1000.0,20.0,40.0,44.161006,17.979671,26.181335,0.031762,0.415921,-0.384160
pscad,195,0.300,1000.0,20.0,inf,53.900371,44.631414,9.268957,0.108356,0.037117,0.071239
pscad,196,0.300,1000.0,30.0,20.0,16.845816,37.501188,-20.655372,0.162069,0.345367,-0.183298
pscad,197,0.300,1000.0,30.0,30.0,14.540584,28.407647,-13.867063,0.142096,0.651333,-0.509237
pscad,198,0.300,1000.0,30.0,40.0,6.909752,6.428454,0.481298,0.383745,0.356943,0.026802
pscad,199,0.300,1000.0,30.0,inf,14.094214,64.295974,-50.201761,0.472737,0.425294,0.047443
pscad,200,0.300,1000.0,40.0,20.0,83.333333,53.526499,29.806834,0.219603,1.593613,-1.374010
pscad,201,0.300,1000.0,40.0,30.0,7.606226,4.071134,3.535092,0.291241,0.200180,0.091062
pscad,202,0.300,1000.0,40.0,40.0,7.946421,8.212679,-0.266259,0.141188,0.064592,0.076597
pscad,203,0.300,1000.0,40.0,inf,8.048329,2.766083,5.282246,0.100953,0.056398,0.044555
pscad,204,0.300,1000.0,inf,20.0,165.556164,32.003922,133.552242,0.233819,0.100734,0.133085
pscad,205,0.300,1000.0,inf,30.0,42.820279,1.883987,40.936292,0.142540,0.312283,-0.169743
pscad,206,0.300,1000.0,inf,40.0,13.554432,2.411046,11.143386,0.210335,0.023334,0.187001
pscad,207,0.300,1000.0,inf,inf,8.936333,0.000033,8.936301,0.162830,0.000090,0.162741
pscad,208,0.300,2000.0,20.0,20.0,83.333333,17.450708,65.882625,0.761745,0.372244,0.389500
pscad,209,0.300,2000.0,20.0,30.0,72.833155,83.333333,-10.500178,1.222149,1.372605,-0.150456
pscad,210,0.300,2000.0,20.0,40.0,78.355703,113.444541,-35.088838,0.112032,1.727853,-1.615821
pscad,211,0.300,2000.0,20.0,inf,216.666667,126.272884,90.393782,2.752151,0.947197,1.804954
pscad,212,0.300,2000.0,30.0,20.0,13.690086,83.333333,-69.643247,2.142597,0.114986,2.027611
pscad,213,0.300,2000.0,30.0,30.0,162.382427,83.333333,79.049094,0.564050,0.110005,0.454044
pscad,214,0.300,2000.0,30.0,40.0,47.865289,22.622778,25.242512,0.547299,0.004861,0.542438
pscad,215,0.300,2000.0,30.0,inf,27.071154,27.283235,-0.212081,0.074665,0.351337,-0.276671
pscad,216,0.300,2000.0,40.0,20.0,83.333333,83.333333,0.000000,0.280462,0.180471,0.099991
pscad,217,0.300,2000.0,40.0,30.0,42.336357,20.008430,22.327927,0.974711,0.374816,0.599895
pscad,218,0.300,2000.0,40.0,40.0,49.462066,8.342333,41.119733,0.445701,0.120458,0.325243
pscad,219,0.300,2000.0,40.0,inf,19.668709,5.921797,13.746912,0.176346,0.034453,0.141893
pscad,220,0.300,2000.0,inf,20.0,59.109058,83.333333,-24.224276,0.766079,0.223438,0.542640
pscad,221,0.300,2000.0,inf,30.0,45.637108,68.028884,-22.391776,0.643429,0.449941,0.193488
pscad,222,0.300,2000.0,inf,40.0,50.957895,10.179125,40.778771,0.212646,0.101943,0.110704
pscad,223,0.300,2000.0,inf,inf,32.775415,0.018529,32.756887,0.325199,0.000002,0.325197
pscad,224,0.300,5000.0,20.0,20.0,57.693187,83.333333,-25.640146,0.854641,0.000000,0.854641
pscad,225,0.300,5000.0,20.0,30.0,111.439151,83.333333,28.105818,2.169432,0.000000,2.169432
pscad,226,0.300,5000.0,20.0,40.0,66.974800,108.201771,-41.226972,0.000000,0.000000,0.000000
pscad,227,0.300,5000.0,20.0,inf,111.305460,108.886911,2.418548,2.074914,0.302873,1.772040
pscad,228,0.300,5000.0,30.0,20.0,11.166608,24.547072,-13.380464,0.000000,0.000000,0.000000
pscad,229,0.300,5000.0,30.0,30.0,8.036936,56.679862,-48.642926,0.000000,0.221969,-0.221969
pscad,230,0.300,5000.0,30.0,40.0,10.504797,13.494586,-2.989789,0.000000,0.000000,0.000000
pscad,231,0.300,5000.0,30.0,inf,41.003391,27.408022,13.595368,0.000000,0.276872,-0.276872
pscad,232,0.300,5000.0,40.0,20.0,109.097611,109.773118,-0.675507,0.462100,0.966218,-0.504118
pscad,233,0.300,5000.0,40.0,30.0,27.841475,68.003863,-40.162388,0.000000,0.000000,0.000000
pscad,234,0.300,5000.0,40.0,40.0,12.344343,0.305573,12.038769,0.000000,0.000000,0.000000
pscad,235,0.300,5000.0,40.0,inf,19.322461,15.730074,3.592387,0.000000,0.051471,-0.051471
pscad,236,0.300,5000.0,inf,20.0,83.333333,83.333333,0.000000,1.474286,0.000000,1.474286
pscad,237,0.300,5000.0,inf,30.0,8.723559,99.354350,-90.630792,0.000000,0.000000,0.000000
pscad,238,0.300,5000.0,inf,40.0,20.696634,3.521589,17.175045,0.000000,0.000000,0.000000
pscad,239,0.300,5000.0,inf,inf,22.339835,0.018684,22.321151,0.000000,0.000000,0.000000
pscad,240,0.400,100.0,20.0,20.0,14.065765,15.044569,-0.978804,1.191931,1.311746,-0.119814
pscad,241,0.400,100.0,20.0,30.0,0.156905,10.120871,-9.963966,0.392385,1.230151,-0.837767
pscad,242,0.400,100.0,20.0,40.0,5.168717,6.698905,-1.530188,0.000000,0.000000,0.000000
pscad,243,0.400,100.0,20.0,inf,0.649177,0.910102,-0.260925,0.000000,0.000000,0.000000
pscad,244,0.400,100.0,30.0,20.0,0.513664,10.348217,-9.834553,0.817505,0.572972,0.244533
pscad,245,0.400,100.0,30.0,30.0,1.779161,3.632809,-1.853649,0.024933,0.000000,0.024933
pscad,246,0.400,100.0,30.0,40.0,1.451396,3.195687,-1.744291,0.000000,0.000000,0.000000
pscad,247,0.400,100.0,30.0,inf,1.580241,2.316101,-0.735860,0.072258,0.000000,0.072258
pscad,248,0.400,100.0,40.0,20.0,5.495393,7.263506,-1.768113,0.424372,0.001321,0.423051
pscad,249,0.400,100.0,40.0,30.0,0.033021,2.177470,-2.144449,0.273319,0.000000,0.273319
pscad,250,0.400,100.0,40.0,40.0,1.927090,0.680769,1.246322,0.167888,0.029312,0.138576
pscad,251,0.400,100.0,40.0,inf,0.554983,1.118840,-0.563857,0.080632,0.000000,0.080632
pscad,252,0.400,100.0,inf,20.0,8.292441,3.354502,4.937940,0.000000,1.003089,-1.003089
pscad,253,0.400,100.0,inf,30.0,2.198996,2.126116,0.072880,0.393254,0.063443,0.329811
pscad,254,0.400,100.0,inf,40.0,1.076987,0.570746,0.506241,0.139218,0.000000,0.139218
pscad,255,0.400,100.0,inf,inf,0.211805,0.000179,0.211626,0.180055,0.000096,0.179959
pscad,256,0.400,500.0,20.0,20.0,8.996346,29.401116,-20.404770,0.706498,0.879840,-0.173341
pscad,257,0.400,500.0,20.0,30.0,21.309449,10.172508,11.136941,0.776646,0.558992,0.217654
pscad,258,0.400,500.0,20.0,40.0,8.619623,33.211229,-24.591606,1.102636,0.098877,1.003759
pscad,259,0.400,500.0,20.0,inf,38.437199,30.847115,7.590084,0.517037,0.722189,-0.205152
