trial,fault_bus,alpha_true,Rx_true,snr_v_db,snr_i_db,loc_err_emanuel_dft,loc_err_wang2020_dft,loc_err_emanuel_tft,loc_err_wang2020_tft,delta_dft,delta_tft
0,bus_07,0.5,100.0,inf,inf,61.9075510491642,63.69648481631489,99.98,99.98,1.788933767150695,0.0
0,bus_07,0.5,500.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,500.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,1000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,2000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,20.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,20.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,20.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,30.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,30.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,30.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,40.0,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,40.0,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,40.0,inf,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,inf,30.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,inf,40.0,99.98,99.98,99.98,99.98,0.0,0.0
0,bus_07,0.5,5000.0,inf,inf,99.98,99.98,99.98,99.98,0.0,0.0
