trial,alpha_true,Rx_true,snr_i_db,distortion_index,H_true_real,H_true_imag,H_dft_real,H_dft_imag,H_tft_real,H_tft_imag,bias_dft_pct,bias_tft_pct
73,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005256754727126831,0.000407875111342192,0.0004764808929573198,0.00035598096028234533,8.296412304550378,4.5706775695402015
74,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005276861766766509,0.0004084396901829124,0.00048256077629805545,0.0003603285593250983,8.517318689147897,3.519274444285773
75,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005266707703193033,0.0004108683340872515,0.0004790982154797019,0.0003620960588851849,8.802283285324672,4.079331027907102
76,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005263867877066651,0.00041107775646334816,0.0004814459019429604,0.00036080858947274764,8.814585940055746,3.6973747367802496
77,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005313343139476029,0.0004069994266445012,0.0004885119033047117,0.0003567006078293843,8.591563394308894,2.6514731471011026
78,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005260941116101979,0.00040985947045158296,0.00048239741703859617,0.0003590301945253162,8.615871147075321,3.5584132706486997
79,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005253280175986843,0.0004064626323777298,0.00048503523031348436,0.0003561369686007529,8.066043113521536,3.2166938177365796
80,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526591289341926,0.00040740338904131455,0.0004804251615458806,0.00035477290877617665,8.289943148566278,3.9912777507287256
81,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005272482806788266,0.00041122699182825304,0.00048433532976529414,0.00036223024498579625,8.893292892973514,3.237178911519868
82,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005250730738353704,0.0004072062792152154,0.00047674238587281303,0.0003533790110782891,8.158176322368679,4.623019148243008
83,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005269083866847998,0.0004116036271592996,0.00047865824338866065,0.0003594444714860589,8.926146816636216,4.154483407577115
84,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000524830190740905,0.00040794015408330186,0.0004810861691159199,0.00036060021434528543,8.250560099079605,3.7558350301428485
85,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005308519106672307,0.00040827642110096964,0.0004864276329069117,0.0003595142416889196,8.731500616774007,2.9043299729452174
86,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005279356844828038,0.00041081060941107017,0.00048239657530534325,0.00035731385562422615,8.879082729748012,3.5941765378422335
87,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005251333692147163,0.0004093230531503713,0.0004802526618296295,0.0003601412830474342,8.474581925860184,3.8922061607550864
88,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005274533421969242,0.0004080136504421116,0.00048220492212648554,0.00036044605805327784,8.439118748098128,3.5760685996619004
89,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005284643431798147,0.0004049777481387784,0.0004818518704414714,0.000354619631216276,8.079758302705239,3.775863358627364
90,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005260903872991461,0.00041029896102673965,0.0004766309655887032,0.00035149207717398196,8.680418005090155,4.730280230679367
91,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261413098604312,0.00040860741781385997,0.00047980598237341057,0.0003543941406551513,8.43499276126829,4.103431308175601
92,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005264145999419613,0.0004106657258404465,0.0004824214343029185,0.0003638425898998648,8.755637179812553,3.5688891635976403
93,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261139564979806,0.0004082581338003493,0.00047807078715150384,0.00035281709153218516,8.381972213285692,4.4431298904550784
94,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526927553618425,0.00041010638749511714,0.0004822921672494967,0.00036333716118730404,8.707495120020221,3.580174306231355
95,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005264472160623269,0.0004121835507499728,0.0004775914949187369,0.0003585717995177097,8.981921757114245,4.336730294378591
96,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005258769249465888,0.0004099496318091207,0.00047865058259729246,0.00035572070658429754,8.615008428592034,4.235206257194549
97,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005274020650807132,0.00040763277133155093,0.00047618367918714227,0.00035459787977000333,8.380380569573232,4.662297895153114
98,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005265083178532022,0.00040990250789640887,0.0004830376449590988,0.00036132378069012283,8.649541109356292,3.4409153606209086
99,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005283855635129795,0.00040783210537697137,0.00048334339350075017,0.0003583765076012813,8.480386185127813,3.418133954700205
100,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526101373926408,0.00040849215015308055,0.00048057633813492547,0.00035482066205152704,8.415415431634003,3.965750976724214
101,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005262811682939006,0.00040925405212674304,0.000477815634386894,0.0003538667055489389,8.539205606009803,4.435385810607701
