trip,trip_time_ms,k_ibr,Rf,kappa_n,model,ddr
True,20.0,0.9435281155178172,0.19426523356590683,1.03649606267578,pv_2param,4.391542534698498e-17
True,20.0,0.9157176497727852,0.01053420268251888,1.0000000000000386,pv_2param,2.798008862547612e-17
True,20.0,1.1883343516334257,0.15398189244967053,1.042830687313529,pv_2param,1.7046847074575887e-16
True,20.0,1.114820134665889,0.05360514211621277,1.0000000000000115,pv_2param,1.4340412640796313e-16
True,20.0,1.215284010981462,0.05014751054680673,1.0000000000000138,pv_2param,7.016248880439674e-17
True,20.0,0.7852171084135207,0.17482596050651336,1.0352304246646014,pv_2param,0.0
True,20.0,0.9972163941200987,0.06886670676081884,1.000000000000017,pv_2param,0.0
True,20.0,0.7789300637878225,0.13036481553852544,1.000000000000008,pv_2param,0.0
True,20.0,1.4072269352673963,0.014630048076601045,1.000000000000002,pv_2param,1.269614053576711e-16
True,20.0,1.1139848373007624,0.13382739255695755,1.0000000000000122,pv_2param,0.0
True,20.0,0.7865687122543644,0.0760971877063027,1.0000000000000027,pv_2param,1.0558208896826225e-16
True,20.0,0.9129792305538822,0.057617157021859634,1.0000000000000235,pv_2param,0.0
True,20.0,0.9067358949866036,0.07611101641921887,1.0000000000000064,pv_2param,7.362208100546649e-17
True,20.0,0.4536170958707605,0.11057533217629399,1.0209930337489863,pv_2param,9.869860152169325e-17
True,20.0,0.5299733738192809,0.1799452571371218,1.0000000000000016,pv_2param,0.0
True,20.0,0.6146593087723542,0.04559279751694563,1.000000000000007,pv_2param,7.061758124240234e-17
True,20.0,0.7185129967785676,0.05470391069976566,1.00000000000001,pv_2param,0.0
True,20.0,0.36535972169926445,0.07070850932450859,1.0357957152991673,pv_2param,1.2910209824302768e-16
True,20.0,1.0582319488369138,0.125190900313348,1.0162332352400163,pv_2param,1.115710630499049e-16
True,20.0,0.5589085309441142,0.03036910815704055,1.000000000000004,pv_2param,8.679021518491994e-17
True,20.0,0.3810559441758453,0.05299301143835116,1.0000000000000009,pv_2param,1.1357825994780544e-16
True,20.0,0.41032895963202864,0.07484254489758595,1.008904033811588,pv_2param,0.0
True,20.0,1.067347427774076,0.03719008909349608,1.0044036489193353,pv_2param,1.3248267348723026e-16
True,20.0,1.1626534150928474,0.03178241985777868,1.0000000000000364,pv_2param,0.0
True,20.0,1.1724624284768819,0.09682696658254797,1.0000000000000084,pv_2param,1.0003568074935846e-16
True,20.0,0.43964402864106655,0.17972306757768472,1.0000000000000022,pv_2param,6.59936478071251e-17
True,20.0,0.8258391254286817,0.08537994957316085,1.0000000000000089,pv_2param,5.969355761842775e-17
True,20.0,1.0573042056949353,0.09969546640066324,1.0000000000000027,pv_2param,9.517812879961032e-17
True,20.0,1.3939910415730437,0.10908224479207101,1.0000000000000082,pv_2param,7.782148000370745e-17
True,20.0,1.3962618323106712,0.0772860466608587,1.0000000000000022,pv_2param,1.4839458910261256e-16
True,20.0,0.3564507076990685,0.16200790944387006,1.0000000000000013,pv_2param,0.0
True,20.0,0.33810689385012666,0.19364504885651532,1.0000000000000007,pv_2param,1.0627567822381841e-16
True,20.0,1.402377888709322,0.1350950151222405,1.000000000000008,pv_2param,6.076161487630077e-17
True,20.0,0.607960989652947,0.0931041698151927,1.0211740879039077,pv_2param,0.0
True,20.0,0.9394670644705174,0.08221832195842729,1.000000000000005,pv_2param,5.484487618550398e-17
True,20.0,0.5637565141621634,0.054567012791069194,1.0000000000000038,pv_2param,0.0
True,20.0,0.5244565420317822,0.14397251942068298,1.0000000000000029,pv_2param,4.908766767196928e-17
True,20.0,1.036145169109175,0.15095414830471657,1.0180485664703853,pv_2param,6.597976472208018e-17
True,20.0,0.45563548509303164,0.009257529038532475,1.0000000000000009,pv_2param,0.0
True,20.0,0.4981904795329033,0.11180518732863665,1.051215466318613,pv_2param,4.324923218987319e-17
True,20.0,0.57425831369633,0.012731386806004186,1.0725350846676367,pv_2param,4.440711858404958e-17
True,20.0,0.953312355810618,0.034218783923588236,1.0000000000000002,pv_2param,0.0
True,20.0,1.0584660435059685,0.15781176072540218,1.121035642332399,pv_2param,3.076356855657202e-17
True,20.0,1.2557395103898565,0.08782236764882348,1.0000000000000127,pv_2param,4.968052079735252e-17
True,20.0,0.7416609860563247,0.04978176250974212,1.0125017549218642,pv_2param,4.7415050652769617e-17
True,20.0,1.0483544033117518,0.12189773793732486,1.0008488585787725,pv_2param,9.991915332126293e-17
True,20.0,1.4978474167124536,0.18783572876648288,1.0000000000000175,pv_2param,5.085987133319777e-17
True,20.0,1.12128799848003,0.026488589915951623,1.0000000000000147,pv_2param,0.0
True,20.0,1.4526039661669012,0.12137765953092589,1.000000000000002,pv_2param,8.495743302998342e-17
True,20.0,0.8900133668198251,0.038816434831626806,1.0000000000000053,pv_2param,4.3226085386307396e-17
True,20.0,0.7587746657801109,0.04549553244066851,1.1037451190121843,pv_2param,1.8278887433183705e-16
True,20.0,0.8767126726405776,0.08019917896480938,1.0000000000000093,pv_2param,1.0918062305642461e-16
True,20.0,1.4764628122683914,0.15458877068489785,1.0000000000000087,pv_2param,0.0
True,20.0,0.39681805432719575,0.01619557592566876,1.0000000000000013,pv_2param,3.8453376846159865e-17
True,20.0,1.069075820324556,0.026921901229814152,1.000000000000018,pv_2param,0.0
True,20.0,0.6999157822174658,0.042000147763159884,1.0000000000000016,pv_2param,5.892019907723207e-17
True,20.0,0.35651793557375033,0.02022355100966009,1.0000000000000007,pv_2param,5.064283093410235e-17
True,20.0,0.4935679931725171,0.1663210155951134,1.0511225179286146,pv_2param,0.0
True,20.0,1.167486498678523,0.04364798122456255,1.0000000000000024,pv_2param,0.0
True,20.0,0.9324891716668617,0.19316775193970867,1.0303638067798817,pv_2param,1.6740103742811264e-16
True,20.0,1.0881665178646984,0.18733166079783237,1.0000000000000122,pv_2param,5.876817828843391e-17
True,20.0,0.5957478728379801,0.09602599192092971,1.0218267600314546,pv_2param,1.104617232529091e-16
True,20.0,0.4868689600042883,0.04870581808640591,1.003087233797447,pv_2param,7.816231785851189e-17
True,20.0,0.6623865077931159,0.1619730345871351,1.0000000000000047,pv_2param,1.1375628391694124e-17
True,20.0,0.978053309952605,0.17675134386692617,1.0452469422643138,pv_2param,0.0
True,20.0,1.2676119754992168,0.06675211935165566,1.0000000000000182,pv_2param,0.0
