t,ia,ib,ic,va,vb,vc,i_rms
0.0123,-0.37902728,0.82374841,-0.44472113,-0.66131187,0.98027117,-0.31895931,0.61725416
0.0124,-0.40184396,0.8245333,-0.42268934,-0.68454711,0.9735789,-0.2890318,0.61918779
0.0125,-0.42426407,0.82450447,-0.4002404,-0.70710678,0.96592583,-0.25881905,0.62108454
0.0126,-0.44626548,0.82366196,-0.37739648,-0.72896863,0.9573195,-0.22835087,0.62293701
0.0127,-0.46782648,0.82200659,-0.35418011,-0.75011107,0.94776841,-0.19765734,0.62473814
0.0128,-0.4889258,0.81954,-0.3306142,-0.77051324,0.93728199,-0.16676875,0.62648123
0.0129,-0.5095426,0.81626463,-0.30672203,-0.79015501,0.92587058,-0.13571557,0.62815998
0.013,-0.52965655,0.81218369,-0.28252715,-0.80901699,0.91354546,-0.10452846,0.62976845
0.0131,-0.54924778,0.80730124,-0.25805345,-0.82708057,0.90031877,-0.073238197,0.6313011
0.0132,-0.56829698,0.80162207,-0.23332509,-0.84432793,0.88620358,-0.041875654,0.63275279
0.0133,-0.58678534,0.7951518,-0.20836646,-0.86074203,0.87121381,-0.010471784,0.63411877
0.0134,-0.60469461,0.78789681,-0.1832022,-0.87630668,0.85536426,0.02094242,0.63539471
0.0135,-0.62200712,0.77986426,-0.15785714,-0.89100652,0.83867057,0.052335956,0.63657665
0.0136,-0.63870578,0.77106208,-0.1323563,-0.90482705,0.82114921,0.083677843,0.63766106
0.0137,-0.65477412,0.76149896,-0.10672483,-0.91775463,0.80281748,0.11493715,0.63864482
0.0138,-0.67019628,0.75118432,-0.080988044,-0.92977649,0.78369346,0.14608303,0.63952518
0.0139,-0.68495703,0.74012836,-0.055171329,-0.94088077,0.76379603,0.17708474,0.64029983
0.014,-0.69904181,0.72834198,-0.029300167,-0.95105652,0.74314483,0.20791169,0.64096682
0.0141,-0.71243673,0.71583682,-0.0034000899,-0.96029369,0.72176023,0.23853346,0.64152463
0.0142,-0.72512855,0.70262521,0.022503343,-0.96858316,0.69966334,0.26891982,0.6419721
0.0143,-0.73710476,0.68872019,0.048384568,-0.97591676,0.67687597,0.29904079,0.64230847
0.0144,-0.74835354,0.67413549,0.074218043,-0.98228725,0.6534206,0.32886665,0.64253336
0.0145,-0.75886378,0.65888551,0.099978274,-0.98768834,0.62932039,0.35836795,0.64264678
0.0146,-0.76862511,0.64298528,0.12563984,-0.9921147,0.60459911,0.38751559,0.64264908
0.0147,-0.77762791,0.6264505,0.15117741,-0.99556196,0.57928117,0.41628079,0.642541
0.0148,-0.78586328,0.60929749,0.17656579,-0.99802673,0.55339155,0.44463518,0.64232363
0.0149,-0.7933231,0.59154317,0.20177992,-0.99950656,0.5269558,0.47255076,0.64199839
0.015,-0.8,0.57320508,0.22679492,-1,0.5,0.5,0.64156707
0.0151,-0.8058874,0.5543013,0.2515861,-0.99950656,0.47255076,0.5269558,0.64103177
0.0152,-0.81097949,0.5348505,0.27612899,-0.99802673,0.44463518,0.55339155,0.64039494
0.0153,-0.81527123,0.51487186,0.30039938,-0.99556196,0.41628079,0.57928117,0.63965931
0.0154,-0.81875841,0.4943851,0.32437331,-0.9921147,0.38751559,0.60459911,0.63882795
0.0155,-0.82143757,0.47341044,0.34802712,-0.98768834,0.35836795,0.62932039,0.6379042
0.0156,-0.82330606,0.45196859,0.37133747,-0.98228725,0.32886665,0.6534206,0.63689169
0.0157,-0.82436206,0.4300807,0.39428136,-0.97591676,0.29904079,0.67687597,0.63579433
0.0158,-0.82460451,0.40776837,0.41683614,-0.96858316,0.26891982,0.69966334,0.63461629
0.0159,-0.82403317,0.38505362,0.43897955,-0.96029369,0.23853346,0.72176023,0.63336197
0.016,-0.82264861,0.36195887,0.46068974,-0.95105652,0.20791169,0.74314483,0.63203603
0.0161,-0.8204522,0.33850691,0.48194529,-0.94088077,0.17708474,0.76379603,0.63064333
0.0162,-0.8174461,0.31472089,0.50272521,-0.92977649,0.14608303,0.78369346,0.62918894
0.0163,-0.81363328,0.29062427,0.52300901,-0.91775463,0.11493715,0.80281748,0.62767814
0.0164,-0.8090175,0.26624085,0.54277665,-0.90482705,0.083677843,0.82114921,0.62611636
0.0165,-0.80360332,0.24159467,0.56200865,-0.89100652,0.052335956,0.83867057,0.62450919
0.0166,-0.79739608,0.21671007,0.58068601,-0.87630668,0.02094242,0.85536426,0.62286238
0.0167,-0.7904019,0.19161161,0.5987903,-0.86074203,-0.010471784,0.87121381,0.62118179
0.0168,-0.7826277,0.16632404,0.61630366,-0.84432793,-0.041875654,0.88620358,0.61947338
0.0169,-0.77408113,0.14087234,0.6332088,-0.82708057,-0.073238197,0.90031877,0.61774321
0.017,-0.76477065,0.11528161,0.64948904,-0.80901699,-0.10452846,0.91354546,0.61599738
0.0171,-0.75470542,0.08957711,0.66512831,-0.79015501,-0.13571557,0.92587058,0.61424206
0.0172,-0.74389539,0.06378421,0.68011118,-0.77051324,-0.16676875,0.93728199,0.61248342
