t,ia,ib,ic,va,vb,vc,i_rms
3.8226,0.36220216,0.15296962,-0.51500075,0.64639149,-0.84887491,0.20248342,0.37439437
3.8227,0.34990676,0.16880806,-0.51853883,0.66513893,-0.84040577,0.17526683,0.37439407
3.8228,0.33726615,0.18447978,-0.52156514,0.68322996,-0.83110724,0.14787728,0.37439371
3.8229,0.32429279,0.19996932,-0.52407672,0.70064672,-0.82098851,0.12034179,0.37439329
3.823,0.3109995,0.21526139,-0.52607108,0.71737203,-0.81005957,0.092687541,0.3743928
3.8231,0.29739939,0.23034091,-0.52754625,0.73338938,-0.7983312,0.064941818,0.37439225
3.8232,0.28350589,0.24519299,-0.52850079,0.74868296,-0.78581496,0.037132005,0.37439162
3.8233,0.26933272,0.25980299,-0.52893376,0.76323768,-0.77252323,0.0092855466,0.37439091
3.8234,0.25489385,0.27415647,-0.52884474,0.77703918,-0.7584691,-0.018570075,0.37439012
3.8235,0.24020355,0.28823929,-0.52823381,0.79007383,-0.74366646,-0.04640737,0.37438925
3.8236,0.22527631,0.30203755,-0.52710159,0.80232878,-0.72812991,-0.074198867,0.37438829
3.8237,0.21012686,0.31553762,-0.52544919,0.81379193,-0.71187479,-0.10191714,0.37438725
3.8238,0.19477017,0.32872619,-0.52327825,0.82445196,-0.69491713,-0.12953483,0.37438612
3.8239,0.17922137,0.34159025,-0.52059092,0.83429835,-0.67727367,-0.15702469,0.37438489
3.824,0.16349583,0.3541171,-0.51738985,0.8433214,-0.65896182,-0.18435958,0.37438358
3.8241,0.14760906,0.36629439,-0.51367821,0.85151219,-0.63999966,-0.21151253,0.37438217
3.8242,0.13157673,0.37811009,-0.50945966,0.85886264,-0.62040589,-0.23845674,0.37438067
3.8243,0.11541468,0.38955256,-0.50473836,0.86536549,-0.60019986,-0.26516563,0.37437908
3.8244,0.099138859,0.40061049,-0.49951899,0.87101433,-0.57940151,-0.29161283,0.3743774
3.8245,0.082765322,0.41127299,-0.4938067,0.87580359,-0.55803135,-0.31777224,0.37437563
3.8246,0.066310232,0.42152953,-0.48760712,0.87972854,-0.53611049,-0.34361805,0.37437377
3.8247,0.049789828,0.43137,-0.48092639,0.8827853,-0.51366055,-0.36912475,0.37437182
3.8248,0.033220414,0.44078468,-0.47377109,0.88497085,-0.49070368,-0.39426717,0.37436979
3.8249,0.016618344,0.44976429,-0.46614829,0.88628305,-0.46726256,-0.41902049,0.37436767
3.825,2.2287644e-14,0.45829997,-0.45806552,0.88672059,-0.4433603,-0.4433603,0.37436547
3.8251,-0.016618216,0.46638329,-0.44953076,0.88628305,-0.41902049,-0.46726256,0.37436319
3.8252,-0.033219904,0.4740063,-0.44055243,0.88497085,-0.39426717,-0.49070368,0.37436084
3.8253,-0.049788681,0.48116145,-0.4311394,0.8827853,-0.36912475,-0.51366055,0.37435842
3.8254,-0.066308196,0.48784171,-0.42130096,0.87972854,-0.34361805,-0.53611049,0.37435593
3.8255,-0.082762146,0.49404048,-0.41104683,0.87580359,-0.31777224,-0.55803135,0.37435338
3.8256,-0.099134294,0.49975164,-0.40038712,0.87101433,-0.29161283,-0.57940151,0.37435076
3.8257,-0.11540848,0.50496957,-0.38933236,0.86536549,-0.26516563,-0.60019986,0.3743481
3.8258,-0.13156865,0.50968911,-0.37789346,0.85886264,-0.23845674,-0.62040589,0.37434538
3.8259,-0.14759886,0.51390562,-0.36608172,0.85151219,-0.21151253,-0.63999966,0.37434262
3.826,-0.16348328,0.51761493,-0.35390878,0.8433214,-0.18435958,-0.65896182,0.37433982
3.8261,-0.17920624,0.5208134,-0.34138668,0.83429835,-0.15702469,-0.67727367,0.37433698
3.8262,-0.19475223,0.52349786,-0.32852777,0.82445196,-0.12953483,-0.69491713,0.37433411
3.8263,-0.2101059,0.52566567,-0.31534474,0.81379193,-0.10191714,-0.71187479,0.37433123
3.8264,-0.2252521,0.5273147,-0.3018506,0.80232878,-0.074198867,-0.72812991,0.37432832
3.8265,-0.2401759,0.52844333,-0.28805867,0.79007383,-0.04640737,-0.74366646,0.3743254
3.8266,-0.25486255,0.52905044,-0.27398258,0.77703918,-0.018570075,-0.7584691,0.37432248
3.8267,-0.26929758,0.52913544,-0.2596362,0.76323768,0.0092855466,-0.77252323,0.37431955
3.8268,-0.28346673,0.52869824,-0.24503371,0.74868296,0.037132005,-0.78581496,0.37431663
3.8269,-0.29735603,0.52773929,-0.2301895,0.73338938,0.064941818,-0.7983312,0.37431372
3.827,-0.31095176,0.52625954,-0.21511824,0.71737203,0.092687541,-0.81005957,0.37431083
3.8271,-0.32424053,0.52426044,-0.19983481,0.70064672,0.12034179,-0.82098851,0.37430796
3.8272,-0.3372092,0.52174398,-0.18435427,0.68322996,0.14787728,-0.83110724,0.37430512
3.8273,-0.349845,0.51871265,-0.16869192,0.66513893,0.17526683,-0.84040577,0.37430231
3.8274,-0.36213544,0.51516943,-0.15286321,0.64639149,0.20248342,-0.84887491,0.37429954
3.8275,-0.37406841,0.51111783,-0.13688376,0.62700614,0.22950018,-0.85650632,0.37429681
3.8276,-0.38563213,0.50656185,-0.12076935,0.60700202,0.25629045,-0.86329246,0.37429413
3.8277,-0.39681518,0.501506,-0.10453587,0.58639885,0.28282779,-0.86922664,0.37429151
3.8278,-0.40760655,0.49595526,-0.088199358,0.56521698,0.30908601,-0.87430299,0.37428894
3.8279,-0.41799558,0.48991512,-0.071775924,0.54347731,0.33503921,-0.87851651,0.37428644
3.828,-0.42797201,0.48339154,-0.055281781,0.52120129,0.36066176,-0.88186305,0.374284
3.8281,-0.43752602,0.47639096,-0.038733207,0.49841091,0.38592838,-0.88433929,0.37428163
3.8282,-0.44664817,0.4689203,-0.022146534,0.47512865,0.41081414,-0.88594279,0.37427934
3.8283,-0.45532946,0.46098693,-0.0055381307,0.45137751,0.43529447,-0.88667197,0.37427712
3.8284,-0.46356134,0.45259868,0.011075612,0.4271809,0.45934522,-0.88652612,0.37427498
3.8285,-0.47133567,0.44376384,0.027678299,0.40256273,0.48294265,-0.88550537,0.37427293
3.8286,-0.4786448,0.43449113,0.044253544,0.37754727,0.50606347,-0.88361074,0.37427096
3.8287,-0.4854815,0.42478971,0.060784992,0.35215921,0.52868488,-0.88084409,0.37426908
3.8288,-0.49183905,0.41466914,0.077256327,0.32642362,0.55078453,-0.87720815,0.37426729
3.8289,-0.49771116,0.40413942,0.093651294,0.30036589,0.57234062,-0.87270651,0.37426559
3.829,-0.50309205,0.39321095,0.10995372,0.27401173,0.59333189,-0.86734362,0.37426398
3.8291,-0.50797641,0.38189452,0.1261475,0.24738716,0.61373761,-0.86112477,0.37426246
3.8292,-0.51235942,0.37020129,0.14221668,0.22051844,0.63353764,-0.85405608,0.37426103
3.8293,-0.51623677,0.3581428,0.15814538,0.1934321,0.65271245,-0.84614455,0.37425969
3.8294,-0.51960462,0.34573097,0.17391789,0.16615487,0.67124311,-0.83739798,0.37425845
3.8295,-0.52245966,0.33297804,0.18951864,0.13871366,0.68911133,-0.82782499,0.37425729
3.8296,-0.52479908,0.3198966,0.20493225,0.11113556,0.70629948,-0.81743504,0.37425623
3.8297,-0.52662057,0.30649957,0.2201435,0.083447779,0.7227906,-0.80623838,0.37425525
3.8298,-0.52792234,0.29280016,0.23513737,0.055677647,0.73856842,-0.79424606,0.37425436
3.8299,-0.5287031,0.27881189,0.24989909,0.027852567,0.75361735,-0.78146992,0.37425355
