decision,trip_ms,conv_trip,sprt_dec,f_int,k_ibr,Br,phi_deg
TRIP,20.0,True,TRIP,0.8889620259079652,0.8262405018609538,0.07053108156898594,263.816349285625
TRIP,20.0,False,TRIP,0.8348455883370896,0.9358384723583801,0.25661084397815154,80.23707131623527
TRIP,20.0,False,TRIP,0.6788684199315711,0.7175636660560438,0.47775129543745815,335.1418811488412
TRIP,20.0,False,TRIP,0.7338270245440797,0.9385510611696237,0.582185521683874,111.57472547827805
TRIP,20.0,False,TRIP,0.8510439293798562,0.8502269780775429,0.17948294173143098,208.01122232885206
TRIP,20.0,False,TRIP,0.7212541410072602,0.8685290349844673,0.524354049546325,311.1168986718437
TRIP,20.0,True,TRIP,0.8616604604094934,0.869315781483752,0.15700381021363496,188.44131905540831
TRIP,20.0,True,TRIP,0.9144011121694792,0.7168502166873161,0.004238924281431733,271.28068014000144
TRIP,20.0,True,TRIP,0.9000346386262453,0.7749312393154434,0.03808911746901401,269.64943214662867
TRIP,20.0,False,TRIP,0.7820381102303058,0.9265892354544093,0.40989103596400495,284.4076487435767
TRIP,20.0,False,TRIP,0.7747839638656246,0.8236804358467851,0.34800328226601956,291.97737541689776
TRIP,20.0,False,TRIP,0.8494462820037537,0.8681550946755563,0.18929765955060257,141.2866610347164
TRIP,20.0,True,TRIP,0.9154674239344177,0.9834605866079642,0.004583501021978608,130.88024734543828
TRIP,40.0,False,TRIP,0.7762694085748523,0.7138815304952083,0.39760724447738083,289.259316059449
TRIP,20.0,False,TRIP,0.6958664326321309,0.8349041097021459,0.5723246457807561,208.69574141971736
TRIP,20.0,True,TRIP,0.8994508889799084,0.8083822398543694,0.04798141454636494,218.77678218041112
TRIP,20.0,False,CTALARM,0.6840001656869636,0.7319348278584223,0.5155321201756653,148.29021028586524
TRIP,40.0,False,TRIP,0.8249789586860475,0.9852383046279394,0.4441798213748474,72.58127712246213
TRIP,20.0,False,TRIP,0.8206876372343613,0.988437876924563,0.3355483405407944,164.4950049322821
TRIP,60.0,True,TRIP,0.9042982021165398,0.793446446256822,0.03383894848323653,349.0727276768648
TRIP,20.0,False,TRIP,0.7312112266345248,0.9840149832067236,0.6464999914746069,104.71207652927158
TRIP,40.0,False,TRIP,0.8026237522702484,0.7105520820172856,0.33420869224871985,97.92296689468954
TRIP,60.0,False,TRIP,0.8756739458116413,0.9942687971008606,0.2797248726168428,47.08230324806427
TRIP,20.0,False,TRIP,0.7311963163003914,0.9507796049225994,0.6030327814614144,173.2249587635378
TRIP,20.0,False,TRIP,0.6579350010054035,0.7642990662433642,0.5919047602886164,103.87094252189655
TRIP,40.0,False,TRIP,0.7860728266614336,0.8798641461803766,0.5090826671000166,247.36454315872174
TRIP,100.0,False,TRIP,0.8662279977182491,0.9394898087107908,0.5805519880300058,48.64484940075074
TRIP,20.0,True,TRIP,0.8799666602388705,0.7957896892023337,0.0870299366880584,89.03249377040393
TRIP,80.0,False,TRIP,0.8315009800531636,0.8061255376278489,0.5326408885562393,22.26637781265239
TRIP,40.0,False,TRIP,0.8566773574058216,0.888691832677878,0.22962385808888947,14.929525677518477
TRIP,40.0,False,TRIP,0.711829268357622,0.7441282152800314,0.6072463554277944,293.09165010084894
TRIP,20.0,False,TRIP,0.7880724731505112,0.7354631829167225,0.2591620261908014,326.11611766518905
TRIP,20.0,True,TRIP,0.8994167824187005,0.7749415834358273,0.0380127664840528,274.99998073276396
TRIP,20.0,False,TRIP,0.8200718033027912,0.9223779236041094,0.2900661657392559,311.458849281287
TRIP,100.0,False,TRIP,0.8552757603219914,0.8099797679234669,0.5297439245534529,31.17461311332846
TRIP,20.0,False,TRIP,0.7805728745945737,0.8522074664955382,0.3506524426855781,323.32834122463845
TRIP,20.0,False,CTALARM,0.6848276978923409,0.7586351670422598,0.5345437382662778,167.77434112948137
TRIP,20.0,True,TRIP,0.904571813237594,0.7582317002048715,0.02469161860627491,276.7117762551057
TRIP,20.0,True,TRIP,0.8749713779997634,0.8951353777704429,0.1240149425207203,221.6726238303222
TRIP,20.0,False,TRIP,0.7376693132095758,0.7325125755605361,0.39452555172995574,125.9531337881303
TRIP,20.0,False,TRIP,0.8246750804631753,0.9003522181649218,0.26971962769334207,95.32765177902188
TRIP,120.0,False,TRIP,0.8769074895923813,0.8202105557046718,0.4761230205691398,42.52685842561365
TRIP,20.0,False,CTALARM,0.6893746855906802,0.9013812740852877,0.6737879631842953,148.55439653317387
TRIP,20.0,False,TRIP,0.7339513593407121,0.8145188431046466,0.46190337249035973,177.8769778066359
TRIP,20.0,False,TRIP,0.8258713051251041,0.9538156550948496,0.29215402641781985,353.9214339278174
TRIP,60.0,False,TRIP,0.8164747544454187,0.7166668507646963,0.3796548129103385,13.424571478342022
TRIP,40.0,False,TRIP,0.7795187018624747,0.9679891935436531,0.6389785371873193,212.45369839886627
TRIP,20.0,False,TRIP,0.7190812678225813,0.7805983531714286,0.47109247266354903,188.9981358942133
TRIP,40.0,False,TRIP,0.715625424588239,0.7127626629896444,0.5622256484281695,8.242628511764112
TRIP,20.0,False,TRIP,0.8409434047312134,0.8687213265646547,0.21106288637107343,118.7072391609071
TRIP,20.0,False,CTALARM,0.6934059520718441,0.7673062691143289,0.5210248097867907,152.25387228149611
TRIP,20.0,True,TRIP,0.8815375025979783,0.8377609369552359,0.09760195853790324,177.937114226115
TRIP,20.0,False,TRIP,0.7519691119385195,0.940694261818631,0.5248429314836522,84.04419095656527
TRIP,40.0,False,TRIP,0.7751208134927157,0.9374640282244455,0.617091014961697,12.276079163074103
TRIP,20.0,False,TRIP,0.6944031346903898,0.8801156848850245,0.6301627269373952,105.7835206295294
TRIP,20.0,True,TRIP,0.8933928576811332,0.9933615725972942,0.08161304273685338,301.0902632760917
TRIP,20.0,False,TRIP,0.6872145719770995,0.839125328573799,0.5809174368016139,290.8288354623782
TRIP,80.0,True,TRIP,0.9001135274002957,0.711816517106444,0.07695556593762566,65.07027882059975
TRIP,60.0,False,TRIP,0.8628170893025303,0.9458275449431421,0.334877867297934,232.66805963675716
TRIP,20.0,False,TRIP,0.6975159026961584,0.7663881610170582,0.47776507078031555,332.51305491852185
TRIP,120.0,False,TRIP,0.8844630000503789,0.7528716426991073,0.33897437805822445,61.95876874146567
TRIP,120.0,False,TRIP,0.8912060832156652,0.7210029765899474,0.23793672154710302,46.32348247482473
TRIP,40.0,False,TRIP,0.7683433320723507,0.7983699830915916,0.4786748102470986,7.972656032413061
TRIP,120.0,False,TRIP,0.8768373370386777,0.7978476901162563,0.4626151425748257,62.06812729064349
